Album,AlbumArtLink,Artist,ReleaseDate,Summary,Title,Year,YouTubeLink,Actual_YT_Title
Sadan vuoden päästä se on tätä samaa paskaa,,(proto)Torvinen,2024-11-01,,Sadan vuoden päästä se on tätä samaa paskaa,Unknown,https://www.youtube.com/watch?v=Qy_IT7y5CzY&pp=ygU-cHJvdG9Ub3J2aW5lbiBTYWRhbiB2dW9kZW4gcMOkw6RzdMOkIHNlIG9uIHTDpHTDpCBzYW1hYSBwYXNrYWE%3D,ERROR: Private/Dead/Protected
Won't Turn Down,,10-6 Clic,2021-12-24,,Won't Turn Down,Unknown,https://www.youtube.com/watch?v=uHUW3Iextas&pp=ygUbMTAtNiBDbGljIC0gV29uJ3QgVHVybiBEb3du,"Won't Turn Down (feat. Twiztid, Franky & James Garcia)"
Until the End of Time,https://lastfm.freetls.fastly.net/i/u/300x300/4a82827641364d90cd88869b610df7a8.jpg,2Pac,2001-03-27,"A natural ability to appeal to hedonists and revolutionaries alike, combined with charismatic star power and unapologetic threat, made 2Pac one of the most fascinating and successful rappers of the '90s. These qualities, along with his oft-imitated but never replicated flow, have made him an enduring influence on hip-hop decades after his tragic death. 2Pac emerged in 1991 as an ancillary member of Digital Underground, appearing on the group's Top Ten R&B/hip-hop single ""Same Song,"" and by the end of the year earned a reputation as a firebrand with his acclaimed solo debut, 2Pacalypse Now. This was followed at the top of 1992 with a star-making performance in the crime thriller Juice, his first of many major acting roles. In  only a few more years, 2Pac racked up a slew of varied Top 20 pop hits, from ""I Get Around"" and ""Keep Ya Head Up"" to ""Dear Mama"" and the chart-topping ""California Love,"" and put together a concurrent streak of platinum full-lengths, namely Strictly 4 My N.I.G.G.A.Z. (1993), Me Against the World (1995), and All Eyez on Me (1996). Even considering the turbulent life he led, his murder in September 1996 came as a shock. 2Pac's legacy has grown exponentially with help from over a half-dozen Top Ten posthumous releases, an induction into the Rock and Roll Hall of Fame (2017), and the Emmy-nominated documentary miniseries Dear Mama (2023).
The son of two Black Panther members, Tupac Amaru Shakur was born in New York City. His parents had separated before he was born, and Afeni, his revolutionary mother, moved him and his sister around the country for much of their childhood. Frequently, the family was at the poverty level, but Shakur managed to gain acceptance to the prestigious Baltimore School of the Arts as a teenager. While he was at the school, his creative side flourished, as he began writing raps and acting. Before he could graduate, his family moved to Marin City, California, when he was 17 years old. Over the next few years, he lived on the streets and began hustling. Eventually, he met Shock-G, the leader of Digital Underground. The Oakland-based crew hired him as a dancer and roadie, and as he toured with the group, he worked on his own material. In January 1991, Shakur made his first recorded appearance as 2Pac on ""Same Song,"" a number seven R&B/hip-hop hit from the group's This Is an EP Release. He also appeared on their second full-length, Sons of the P, issued that October. A month later, 2Pac released his solo debut, 2Pacalypse Now, for Interscope Records. The album reached number 63 on the Billboard 200 and eventually went gold with help from ""Brenda's Got a Baby,"" a single that peaked at number 23 on the R&B/hip-hop chart. More attention came from Vice-President Dan Quayle, who condemned the lyrics of ""Soulja's Story"" while campaigning for re-election that year.
2Pac's profile was raised considerably by his acclaimed role in the Ernest Dickerson film Juice, which led to a lead role in John Singleton's Poetic Justice the following year. By the time the film hit theaters, 2Pac had released his second album, Strictly 4 My N.I.G.G.A.Z., which became a platinum recording, peaking at number four on the R&B/hip-hop chart (number 24 on the Billboard 200) and launching the Top Ten R&B/hip-hop singles ""I Get Around"" and ""Keep Ya Head Up,"" which peaked at number 11 and 12, respectively, on the Hot 100. Late in 1993, he acted in the basketball movie Above the Rim.
As 2Pac sold records and earned praise for his music and acting, he began having serious altercations with the law. He faced numerous criminal and civil cases, and in 1994 was found guilty of sexual assault. The day before the verdict was announced, he was robbed, beaten, and shot by three men while he was in the lobby of a New York City recording studio. In February 1995, 2Pac was sentenced to 18 months to four-and-a-half years in prison, and began serving his sentence later that month. He was in jail when his third album, Me Against the World, was released in March. The record entered the Billboard 200 at number one, making 2Pac the first artist to top the chart while serving a prison sentence. While he was in prison, he accused the Notorious B.I.G., Puffy Combs, Andre Harrell, and his own close friend Randy ""Stretch"" Walker of orchestrating his New York shooting. 2Pac served only eight months of his sentence, as Suge Knight, the president of Death Row Records, arranged for parole and posted bond for the rapper. By the end of the year, 2Pac was out of prison and working on his debut for Death Row. Meanwhile, 2Pac received his first two Grammy nominations. Me Against the World was up for Best Rap Album, while the ballad ""Dear Mama,"" a number nine pop hit, was among the nominees for Best Rap Solo Performance.
2Pac's Death Row debut, All Eyez on Me, was the first double-disc of original material in hip-hop history. It debuted at number one upon its February 1996 release, and would be certified quintuple platinum by the fall. Although he had another hit album, a number one pop single (the Dr. Dre collaboration ""California Love""), and three more Grammy nominations to his credit, 2Pac was tiring of hip-hop and started to concentrate on acting. During the summer of 1996, he completed two films, the thriller Bullet and the dark comedy Gridlock'd, which also starred Tim Roth. He also made some recordings for Death Row, which was quickly disintegrating without Dre as the house producer, and as Knight became heavily involved in illegal activities.
At the time he was murdered, in September 1996, there were indications that 2Pac was considering leaving Death Row, and maybe even rap, behind. None of those theories can be confirmed, just as the reasons behind his shooting remain mysterious. Following an altercation in the lobby of the MGM Grand Las Vegas, 2Pac was shot four times while riding in Knight's sedan. He was admitted to the University Medical Center of Southern Nevada, and died from his wounds six days later, on September 13.
Hundreds of mourners appeared at the hospital upon news of 2Pac's death, and the entire entertainment industry mourned his passing. There were no leads in the case, but many believed the tragedy would end the much-hyped East Coast/West Coast hip-hop rivalry. Sadly, six months after the murder of 2Pac, the Notorious B.I.G. was murdered under similar circumstances. As 2Pac's profile increased in the wake of his death, a series of Top Ten posthumous releases followed. Among the first were Don Killuminati: The 7 Day Theory (issued under the alias Makaveli in 1996), R U Still Down? (Remember Me) (1997), and Still I Rise (1999), as well as the Top 40, Grammy-nominated single ""Changes."" Additional albums Until the End of Time (2001), Better Dayz (2002), Loyal to the Game (2004), and Pac's Life (2006) followed the next decade.
The lasting impact of 2Pac is further demonstrated with the existence of over a dozen documentaries. Among the highest in profile are the Academy Award-nominated Tupac: Resurrection and the Emmy-nominated Dear Mama. The latter, a miniseries directed by Allen Hughes, focused on the lives of both 2Pac and Afeni Shakur. Moreover, 2Pac has been the subject of the Grammy Museum exhibit All Eyez on Me: The Writings of Tupac Shakur, as well as Tupac Shakur. Wake Me When I'm Free, an exhibit launched in Los Angeles. In 2017, amid all these tributes, 2Pac became the first solo rapper inducted into the Rock & Roll Hall of Fame, and was honored with a speech from Snoop Dogg. Not until 2023 was an indictment and arrest made in connection to 2Pac's murder. ~ Stephen Thomas Erlewine & Andy Kellman",Until the End of Time,Unknown,https://www.youtube.com/watch?v=jdWXS3BPt_0&pp=ygUaMlBhYyBVbnRpbCB0aGUgRW5kIG9mIFRpbWU%3D,"2Pac, R.L. Hugger - Until The End Of Time (Letterbox Version) (Official Music Video)"
Battlecry Under a Winter Sun,https://lastfm.freetls.fastly.net/i/u/300x300/0257adc1aef37fd25b18ca64a10ee667.jpg,3 Inches of Blood,2002-03-02,"Canadian sextet Three Inches of Blood hails from British Columbia and features Cam Pipes (clean vocals), Jamie Hooper (shrieked vocals), Sunny Dhak (lead guitar), Bobby Froese (rhythm guitar), Rich Trawick (bass) and Geoff Trawick (drums). A throwback to heavy metal's youthful 1980s heyday, the band's music consists of Iron Maiden-like galloping riffs and solos speeded up to thrash metal tempos, topped with Dungeons & Dragons-styled lyrics and titles such as ""Destroy the Orcs"" and ""Ride Darkhorse, Ride."" Their debut five-song EP of 2000 quickly sold out in the band's stomping grounds, and led to the following year's full-length, Battlecry Under a Winter Sun, which was initially only given a very limited Canadian release. However, it soon wormed its way over the border and across the oceans thanks to positive word of mouth in the underground metal scene, as well as the band's constant touring. All this led to a new record contract with legendary metal label Roadrunner Records, and, after breaking in a new rhythm section consisting of bassist Brian Redman, and drummer Matt Wood, Three Inches of Blood recorded 2004's sophomore album, Advance and Vanquish. Shortly afterwards, guitarists Froese and Dhak left the band and were replaced by Justin Hagberg and Shane Clark. They inched even closer to reconstructing the perfect '80s metallic beast with their 2007's Fire Up the Blades before Jamie Hooper, the last remaining original member, left the band the following year. Hagberg picked up his vocal duties and the band soldiered on in their pursuit of metal glory, releasing 2009's Here Waits Thy Doom and 2012's Long Live Heavy Metal, both through Century Media. ~ Eduardo Rivadavia","Ride Darkhorse, Ride",Unknown,https://www.youtube.com/watch?v=6Ta4qU9sjlU&list=RD6Ta4qU9sjlU&start_radio=1&pp=ygUoMyBJbmNoZXMgb2YgQmxvb2QgLSBSaWRlIERhcmtob3JzZSwgUmlkZaAHAQ%3D%3D,"Mix - 3 Inches of Blood - Ride, Darkhorse, Ride"
Battlecry Under a Winter Sun,https://lastfm.freetls.fastly.net/i/u/300x300/0257adc1aef37fd25b18ca64a10ee667.jpg,3 Inches of Blood,2002-03-02,"Canadian sextet Three Inches of Blood hails from British Columbia and features Cam Pipes (clean vocals), Jamie Hooper (shrieked vocals), Sunny Dhak (lead guitar), Bobby Froese (rhythm guitar), Rich Trawick (bass) and Geoff Trawick (drums). A throwback to heavy metal's youthful 1980s heyday, the band's music consists of Iron Maiden-like galloping riffs and solos speeded up to thrash metal tempos, topped with Dungeons & Dragons-styled lyrics and titles such as ""Destroy the Orcs"" and ""Ride Darkhorse, Ride."" Their debut five-song EP of 2000 quickly sold out in the band's stomping grounds, and led to the following year's full-length, Battlecry Under a Winter Sun, which was initially only given a very limited Canadian release. However, it soon wormed its way over the border and across the oceans thanks to positive word of mouth in the underground metal scene, as well as the band's constant touring. All this led to a new record contract with legendary metal label Roadrunner Records, and, after breaking in a new rhythm section consisting of bassist Brian Redman, and drummer Matt Wood, Three Inches of Blood recorded 2004's sophomore album, Advance and Vanquish. Shortly afterwards, guitarists Froese and Dhak left the band and were replaced by Justin Hagberg and Shane Clark. They inched even closer to reconstructing the perfect '80s metallic beast with their 2007's Fire Up the Blades before Jamie Hooper, the last remaining original member, left the band the following year. Hagberg picked up his vocal duties and the band soldiered on in their pursuit of metal glory, releasing 2009's Here Waits Thy Doom and 2012's Long Live Heavy Metal, both through Century Media. ~ Eduardo Rivadavia",Destroy the Orcs,Unknown,https://www.youtube.com/watch?v=f1c7saYc0Mo&list=RDf1c7saYc0Mo&start_radio=1&pp=ygUiMyBJbmNoZXMgb2YgQmxvb2QgRGVzdHJveSB0aGUgT3Jjc6AHAQ%3D%3D,ERROR: Private/Dead/Protected
Battlecry Under a Winter Sun,https://lastfm.freetls.fastly.net/i/u/300x300/0257adc1aef37fd25b18ca64a10ee667.jpg,3 Inches of Blood,2002-03-02,"Canadian sextet Three Inches of Blood hails from British Columbia and features Cam Pipes (clean vocals), Jamie Hooper (shrieked vocals), Sunny Dhak (lead guitar), Bobby Froese (rhythm guitar), Rich Trawick (bass) and Geoff Trawick (drums). A throwback to heavy metal's youthful 1980s heyday, the band's music consists of Iron Maiden-like galloping riffs and solos speeded up to thrash metal tempos, topped with Dungeons & Dragons-styled lyrics and titles such as ""Destroy the Orcs"" and ""Ride Darkhorse, Ride."" Their debut five-song EP of 2000 quickly sold out in the band's stomping grounds, and led to the following year's full-length, Battlecry Under a Winter Sun, which was initially only given a very limited Canadian release. However, it soon wormed its way over the border and across the oceans thanks to positive word of mouth in the underground metal scene, as well as the band's constant touring. All this led to a new record contract with legendary metal label Roadrunner Records, and, after breaking in a new rhythm section consisting of bassist Brian Redman, and drummer Matt Wood, Three Inches of Blood recorded 2004's sophomore album, Advance and Vanquish. Shortly afterwards, guitarists Froese and Dhak left the band and were replaced by Justin Hagberg and Shane Clark. They inched even closer to reconstructing the perfect '80s metallic beast with their 2007's Fire Up the Blades before Jamie Hooper, the last remaining original member, left the band the following year. Hagberg picked up his vocal duties and the band soldiered on in their pursuit of metal glory, releasing 2009's Here Waits Thy Doom and 2012's Long Live Heavy Metal, both through Century Media. ~ Eduardo Rivadavia",Balls of Ice,Unknown,https://www.youtube.com/watch?v=KuYQpeXzwBY&list=RDKuYQpeXzwBY&start_radio=1&pp=ygUgMyBJbmNoZXMgb2YgQmxvb2QgLSBCYWxscyBvZiBJY2WgBwE%3D,ERROR: Private/Dead/Protected
311,https://lastfm.freetls.fastly.net/i/u/300x300/0d4d427d0818447a38150cab5536cd41.jpg,311,1995-07-25,"American rock quintet 311 fuses reggae, hip-hop, funk, and metal in a rhythmic hybrid blend that has carried them from the rap-rock boom of the '90s and into the 2020s as veteran mainstays with a fiercely devoted fan base. Following their breakthrough efforts 311 (1995) and Transistor (1997) -- which yielded hit singles ""Down,"" ""All Mixed Up,"" and ""Beautiful Disaster"" -- the quintet issued a string of Top 10 albums over the next few decades, including 2009 chart peak Uplifter, and found mainstream radio success with crossover hits ""Amber"" and a cover of the Cure's ""Love Song."" Into the 2010s, 311 stuck to their tried-and-true formula, serving their diehard following reliable output that included 2014's U.S. Alternative chart-topper Stereolithic and Top 20 hits Mosaic (2017) and Voyager (2019). In 2024, they issued their 14th studio set Full Bloom.
The band was formed in 1990 in Omaha, Nebraska, by singer/guitarist Nick Hexum, DJ/singer Doug ""S.A."" Martinez, guitarist Tim Mahoney, drummer Chad Sexton, and bassist Aaron ""P-Nut"" Wills. Taking their name from the Omaha Police Department's code for indecent exposure, the quintet began performing locally and soon moved to Los Angeles, signing with Capricorn Records in 1991. 311 then translated their regional success into national recognition with several key albums, including 1992's Music, 1993's Grassroots, and 1995's eponymous 311 (aka The Blue Album), the latter of which reached number 12 on the Billboard 200, sold three million copies in the U.S., and sported the hit tracks ""All Mixed Up"" and ""Down.""
In 1996, following a year of nonstop touring in support of 311, the band released Enlarged to Show Detail, a home video of live performances taken from amphitheater shows in Kansas City and Denver. Transistor, a double album of new songs sandwiched onto one CD, arrived one year later and prompted the group's most ambitious tour yet. The effort quickly achieved platinum status, and the resulting show dates provided ample material for Live, which was released in 1998 and captured the band's strength on stage. A year later, 311 returned with Soundsystem before jumping to the Volcano label for the release of From Chaos, which appeared in summer 2001 and featured their hit, ""Amber."" Evolver arrived two years later; unlike its predecessors, however, the album failed to go gold or platinum.
At that point, 311 had been together over ten years and the band celebrated its decade-plus existence with the Greatest Hits compilation. Released in July 2004, the album included all of 311's hit singles, several new tracks, and the band's reggae-tinged cover of the Cure's ""Love Song,"" which had originally appeared on the soundtrack to the Adam Sandler film 50 First Dates. In August 2005, the group issued their eighth LP, Don't Tread on Me, which peaked at number five on the Billboard 200 and was followed by an additional round of touring. Upon its completion, the road-weary musicians took a hiatus, their first break in nearly a decade. 311 soon returned to the studio, however, this time partnering with producer Bob Rock. Heralded by frontman Nick Hexum as ""the heaviest 311 has ever been,"" the resulting Uplifter arrived in 2009. That album shot to number three on the Billboard charts, the band's highest showing to date. Rock returned to the helm in 2011 for the band's tenth studio album, Universal Pulse, which was the band's first indie release.
On March 11, 2014, 311 self-released their 11th studio effort, the Scott ""Scotch"" Ralston-produced and independently released Stereolithic. A live album and four-disc Archive set filled the time until album number 12, which arrived in the summer of 2017. Produced by Ralston and John Feldmann (Goldfinger, blink-182), the 17-track Mosaic featured the singles ""Too Late"" and ""Too Much to Think."" While on tour promoting the album with the Offspring, 311 recorded a cover of their tourmates' ""Self-Esteem"" (while the Offspring took a swing at 311's ""Down""), their only output for 2018. The following year, they returned with their 13th set, Voyager. Released in the summer of 2019, the album was produced by Ralston and Feldmann, with additional contributions by British electronic producer Matan Zohar on the single ""Don't You Worry."" Things remained quiet during the COVID-19 pandemic, with the band returning for a new album era in 2024 with the single ""You're Gonna Get It,"" which landed on their 14th LP, Full Bloom. ~ Cub Koda & Neil Z. Yeung",Down,Unknown,https://www.youtube.com/watch?v=lYBIRHi5-o8&pp=ygUIMzExIERvd24%3D,311 - Down (Official 4K Video)
311,https://lastfm.freetls.fastly.net/i/u/300x300/0d4d427d0818447a38150cab5536cd41.jpg,311,1995-07-25,"American rock quintet 311 fuses reggae, hip-hop, funk, and metal in a rhythmic hybrid blend that has carried them from the rap-rock boom of the '90s and into the 2020s as veteran mainstays with a fiercely devoted fan base. Following their breakthrough efforts 311 (1995) and Transistor (1997) -- which yielded hit singles ""Down,"" ""All Mixed Up,"" and ""Beautiful Disaster"" -- the quintet issued a string of Top 10 albums over the next few decades, including 2009 chart peak Uplifter, and found mainstream radio success with crossover hits ""Amber"" and a cover of the Cure's ""Love Song."" Into the 2010s, 311 stuck to their tried-and-true formula, serving their diehard following reliable output that included 2014's U.S. Alternative chart-topper Stereolithic and Top 20 hits Mosaic (2017) and Voyager (2019). In 2024, they issued their 14th studio set Full Bloom.
The band was formed in 1990 in Omaha, Nebraska, by singer/guitarist Nick Hexum, DJ/singer Doug ""S.A."" Martinez, guitarist Tim Mahoney, drummer Chad Sexton, and bassist Aaron ""P-Nut"" Wills. Taking their name from the Omaha Police Department's code for indecent exposure, the quintet began performing locally and soon moved to Los Angeles, signing with Capricorn Records in 1991. 311 then translated their regional success into national recognition with several key albums, including 1992's Music, 1993's Grassroots, and 1995's eponymous 311 (aka The Blue Album), the latter of which reached number 12 on the Billboard 200, sold three million copies in the U.S., and sported the hit tracks ""All Mixed Up"" and ""Down.""
In 1996, following a year of nonstop touring in support of 311, the band released Enlarged to Show Detail, a home video of live performances taken from amphitheater shows in Kansas City and Denver. Transistor, a double album of new songs sandwiched onto one CD, arrived one year later and prompted the group's most ambitious tour yet. The effort quickly achieved platinum status, and the resulting show dates provided ample material for Live, which was released in 1998 and captured the band's strength on stage. A year later, 311 returned with Soundsystem before jumping to the Volcano label for the release of From Chaos, which appeared in summer 2001 and featured their hit, ""Amber."" Evolver arrived two years later; unlike its predecessors, however, the album failed to go gold or platinum.
At that point, 311 had been together over ten years and the band celebrated its decade-plus existence with the Greatest Hits compilation. Released in July 2004, the album included all of 311's hit singles, several new tracks, and the band's reggae-tinged cover of the Cure's ""Love Song,"" which had originally appeared on the soundtrack to the Adam Sandler film 50 First Dates. In August 2005, the group issued their eighth LP, Don't Tread on Me, which peaked at number five on the Billboard 200 and was followed by an additional round of touring. Upon its completion, the road-weary musicians took a hiatus, their first break in nearly a decade. 311 soon returned to the studio, however, this time partnering with producer Bob Rock. Heralded by frontman Nick Hexum as ""the heaviest 311 has ever been,"" the resulting Uplifter arrived in 2009. That album shot to number three on the Billboard charts, the band's highest showing to date. Rock returned to the helm in 2011 for the band's tenth studio album, Universal Pulse, which was the band's first indie release.
On March 11, 2014, 311 self-released their 11th studio effort, the Scott ""Scotch"" Ralston-produced and independently released Stereolithic. A live album and four-disc Archive set filled the time until album number 12, which arrived in the summer of 2017. Produced by Ralston and John Feldmann (Goldfinger, blink-182), the 17-track Mosaic featured the singles ""Too Late"" and ""Too Much to Think."" While on tour promoting the album with the Offspring, 311 recorded a cover of their tourmates' ""Self-Esteem"" (while the Offspring took a swing at 311's ""Down""), their only output for 2018. The following year, they returned with their 13th set, Voyager. Released in the summer of 2019, the album was produced by Ralston and Feldmann, with additional contributions by British electronic producer Matan Zohar on the single ""Don't You Worry."" Things remained quiet during the COVID-19 pandemic, with the band returning for a new album era in 2024 with the single ""You're Gonna Get It,"" which landed on their 14th LP, Full Bloom. ~ Cub Koda & Neil Z. Yeung",All Mixed Up,Unknown,https://www.youtube.com/watch?v=JjTjtJDZomw&pp=ygUQMzExIEFsbCBNaXhlZCBVcA%3D%3D,311 - All Mixed Up (Official 4K Video)
Grassroots,https://lastfm.freetls.fastly.net/i/u/300x300/c148a6b681b2d5fa37b23845e9887e7a.jpg,311,1994-07-12,"American rock quintet 311 fuses reggae, hip-hop, funk, and metal in a rhythmic hybrid blend that has carried them from the rap-rock boom of the '90s and into the 2020s as veteran mainstays with a fiercely devoted fan base. Following their breakthrough efforts 311 (1995) and Transistor (1997) -- which yielded hit singles ""Down,"" ""All Mixed Up,"" and ""Beautiful Disaster"" -- the quintet issued a string of Top 10 albums over the next few decades, including 2009 chart peak Uplifter, and found mainstream radio success with crossover hits ""Amber"" and a cover of the Cure's ""Love Song."" Into the 2010s, 311 stuck to their tried-and-true formula, serving their diehard following reliable output that included 2014's U.S. Alternative chart-topper Stereolithic and Top 20 hits Mosaic (2017) and Voyager (2019). In 2024, they issued their 14th studio set Full Bloom.
The band was formed in 1990 in Omaha, Nebraska, by singer/guitarist Nick Hexum, DJ/singer Doug ""S.A."" Martinez, guitarist Tim Mahoney, drummer Chad Sexton, and bassist Aaron ""P-Nut"" Wills. Taking their name from the Omaha Police Department's code for indecent exposure, the quintet began performing locally and soon moved to Los Angeles, signing with Capricorn Records in 1991. 311 then translated their regional success into national recognition with several key albums, including 1992's Music, 1993's Grassroots, and 1995's eponymous 311 (aka The Blue Album), the latter of which reached number 12 on the Billboard 200, sold three million copies in the U.S., and sported the hit tracks ""All Mixed Up"" and ""Down.""
In 1996, following a year of nonstop touring in support of 311, the band released Enlarged to Show Detail, a home video of live performances taken from amphitheater shows in Kansas City and Denver. Transistor, a double album of new songs sandwiched onto one CD, arrived one year later and prompted the group's most ambitious tour yet. The effort quickly achieved platinum status, and the resulting show dates provided ample material for Live, which was released in 1998 and captured the band's strength on stage. A year later, 311 returned with Soundsystem before jumping to the Volcano label for the release of From Chaos, which appeared in summer 2001 and featured their hit, ""Amber."" Evolver arrived two years later; unlike its predecessors, however, the album failed to go gold or platinum.
At that point, 311 had been together over ten years and the band celebrated its decade-plus existence with the Greatest Hits compilation. Released in July 2004, the album included all of 311's hit singles, several new tracks, and the band's reggae-tinged cover of the Cure's ""Love Song,"" which had originally appeared on the soundtrack to the Adam Sandler film 50 First Dates. In August 2005, the group issued their eighth LP, Don't Tread on Me, which peaked at number five on the Billboard 200 and was followed by an additional round of touring. Upon its completion, the road-weary musicians took a hiatus, their first break in nearly a decade. 311 soon returned to the studio, however, this time partnering with producer Bob Rock. Heralded by frontman Nick Hexum as ""the heaviest 311 has ever been,"" the resulting Uplifter arrived in 2009. That album shot to number three on the Billboard charts, the band's highest showing to date. Rock returned to the helm in 2011 for the band's tenth studio album, Universal Pulse, which was the band's first indie release.
On March 11, 2014, 311 self-released their 11th studio effort, the Scott ""Scotch"" Ralston-produced and independently released Stereolithic. A live album and four-disc Archive set filled the time until album number 12, which arrived in the summer of 2017. Produced by Ralston and John Feldmann (Goldfinger, blink-182), the 17-track Mosaic featured the singles ""Too Late"" and ""Too Much to Think."" While on tour promoting the album with the Offspring, 311 recorded a cover of their tourmates' ""Self-Esteem"" (while the Offspring took a swing at 311's ""Down""), their only output for 2018. The following year, they returned with their 13th set, Voyager. Released in the summer of 2019, the album was produced by Ralston and Feldmann, with additional contributions by British electronic producer Matan Zohar on the single ""Don't You Worry."" Things remained quiet during the COVID-19 pandemic, with the band returning for a new album era in 2024 with the single ""You're Gonna Get It,"" which landed on their 14th LP, Full Bloom. ~ Cub Koda & Neil Z. Yeung",Applied Science,Unknown,https://www.youtube.com/watch?v=zhWWotSRUGY&pp=ygUTMzExIEFwcGxpZWQgU2NpZW5jZQ%3D%3D,Applied Science
Soundsystem,https://lastfm.freetls.fastly.net/i/u/300x300/f8cc87c6697daedc6672f79e433478cd.jpg,311,1999-10-12,"American rock quintet 311 fuses reggae, hip-hop, funk, and metal in a rhythmic hybrid blend that has carried them from the rap-rock boom of the '90s and into the 2020s as veteran mainstays with a fiercely devoted fan base. Following their breakthrough efforts 311 (1995) and Transistor (1997) -- which yielded hit singles ""Down,"" ""All Mixed Up,"" and ""Beautiful Disaster"" -- the quintet issued a string of Top 10 albums over the next few decades, including 2009 chart peak Uplifter, and found mainstream radio success with crossover hits ""Amber"" and a cover of the Cure's ""Love Song."" Into the 2010s, 311 stuck to their tried-and-true formula, serving their diehard following reliable output that included 2014's U.S. Alternative chart-topper Stereolithic and Top 20 hits Mosaic (2017) and Voyager (2019). In 2024, they issued their 14th studio set Full Bloom.
The band was formed in 1990 in Omaha, Nebraska, by singer/guitarist Nick Hexum, DJ/singer Doug ""S.A."" Martinez, guitarist Tim Mahoney, drummer Chad Sexton, and bassist Aaron ""P-Nut"" Wills. Taking their name from the Omaha Police Department's code for indecent exposure, the quintet began performing locally and soon moved to Los Angeles, signing with Capricorn Records in 1991. 311 then translated their regional success into national recognition with several key albums, including 1992's Music, 1993's Grassroots, and 1995's eponymous 311 (aka The Blue Album), the latter of which reached number 12 on the Billboard 200, sold three million copies in the U.S., and sported the hit tracks ""All Mixed Up"" and ""Down.""
In 1996, following a year of nonstop touring in support of 311, the band released Enlarged to Show Detail, a home video of live performances taken from amphitheater shows in Kansas City and Denver. Transistor, a double album of new songs sandwiched onto one CD, arrived one year later and prompted the group's most ambitious tour yet. The effort quickly achieved platinum status, and the resulting show dates provided ample material for Live, which was released in 1998 and captured the band's strength on stage. A year later, 311 returned with Soundsystem before jumping to the Volcano label for the release of From Chaos, which appeared in summer 2001 and featured their hit, ""Amber."" Evolver arrived two years later; unlike its predecessors, however, the album failed to go gold or platinum.
At that point, 311 had been together over ten years and the band celebrated its decade-plus existence with the Greatest Hits compilation. Released in July 2004, the album included all of 311's hit singles, several new tracks, and the band's reggae-tinged cover of the Cure's ""Love Song,"" which had originally appeared on the soundtrack to the Adam Sandler film 50 First Dates. In August 2005, the group issued their eighth LP, Don't Tread on Me, which peaked at number five on the Billboard 200 and was followed by an additional round of touring. Upon its completion, the road-weary musicians took a hiatus, their first break in nearly a decade. 311 soon returned to the studio, however, this time partnering with producer Bob Rock. Heralded by frontman Nick Hexum as ""the heaviest 311 has ever been,"" the resulting Uplifter arrived in 2009. That album shot to number three on the Billboard charts, the band's highest showing to date. Rock returned to the helm in 2011 for the band's tenth studio album, Universal Pulse, which was the band's first indie release.
On March 11, 2014, 311 self-released their 11th studio effort, the Scott ""Scotch"" Ralston-produced and independently released Stereolithic. A live album and four-disc Archive set filled the time until album number 12, which arrived in the summer of 2017. Produced by Ralston and John Feldmann (Goldfinger, blink-182), the 17-track Mosaic featured the singles ""Too Late"" and ""Too Much to Think."" While on tour promoting the album with the Offspring, 311 recorded a cover of their tourmates' ""Self-Esteem"" (while the Offspring took a swing at 311's ""Down""), their only output for 2018. The following year, they returned with their 13th set, Voyager. Released in the summer of 2019, the album was produced by Ralston and Feldmann, with additional contributions by British electronic producer Matan Zohar on the single ""Don't You Worry."" Things remained quiet during the COVID-19 pandemic, with the band returning for a new album era in 2024 with the single ""You're Gonna Get It,"" which landed on their 14th LP, Full Bloom. ~ Cub Koda & Neil Z. Yeung",Flowing,Unknown,https://www.youtube.com/watch?v=kawylNdxPAg&pp=ygUNMzExIC0gRmxvd2luZw%3D%3D,311 - Flowing (Official Video)
