Album,AlbumArtLink,Artist,ReleaseDate,Summary,Title,Year,YouTubeLink,Actual_YT_Title
The Pains of Being Pure at Heart,https://lastfm.freetls.fastly.net/i/u/300x300/068b0a59f93142e6c2dcbb4eb8f74dc6.png,The Pains of Being Pure at Heart,2009-01-26,"New York group the Pains of Being Pure at Heart started out following the classic indie pop formula of pairing romantic, hooky songwriting with neurotic fuzz guitar. Principle songwriter, guitarist, and vocalist Kip Berman's particular knack for complex melodies and emotionally resonant songwriting helped the band stand out, and they evolved from scrappy noise pop beginnings to slicker, stadium-ready production by the time of their fourth album, 2017's The Echo of Pleasure.
New York-based musicians Alex Naidus (bass), Kip Berman (guitar/vocals), Kurt Feldman (drums), and Peggy Wang (keyboards/vocals) came together to form the Pains of Being Pure at Heart in 2007. They began as a low-key affair, writing short songs inspired by the fuzzy pop of My Bloody Valentine or Black Tambourine. Their first show was at a private party for Wang's birthday, playing five songs with a pre-recorded drum track. Their earliest songs were recorded for a self-titled CD-R on Cloudberry Records, followed soon after by a self-titled EP on the band's own Painbow imprint. In 2008, the group released a number of limited-edition split singles on Atomic Beat Records and Slumberland. Their first album, The Pains of Being Pure at Heart, was released in February 2009 on Slumberland, and the good reviews and positive press (including a spot on Late Night with Carson Daly) made them one of the most talked-about bands of early 2009.
After the release of the summer 2010 single Say No to Love, legendary producers Flood (Smashing Pumpkins) and Alan Moulder (My Bloody Valentine) were hired to give the band a slicker, more powerful sound. The resulting album, Belong, was released by Slumberland in March 2011. After touring their second album, the Pains of Being Pure at Heart returned to the U.S. and Berman began writing new material for their third album. With the departure of original keyboardist Peggy Wang and bassist Alex Naidus, Berman brought together a refreshed lineup -- which featured A Sunny Day in Glasgow's Jen Goma and brass player Kelly Pratt alongside Feldman -- to record the album with Andy Savours (My Bloody Valentine, Sigur Rós). The resulting Days of Abandon was produced by Andy Savours and released in 2014 by Yebo Music.
The group's next record was produced by Savours again and featured Berman handling most of the music himself, though Goma contributed vocals on many songs and touring bassist Jacob Danish Sloan helped out too. The sound of the album was heavily influenced by '80s new wave and pop, while the lyrics largely dealt with Berman's impending fatherhood. The Echo of Pleasure was released by Painbow Records in September 2017. In November 2019, Berman announced the band was no more. He continued writing and releasing solo songs as the Natvral, a moniker he had taken up shortly before the end of Pains. ~ Tim Sendra",Come Saturday,Unknown,https://www.youtube.com/watch?v=7Zb9sjWgkNA&pp=ygUuVGhlIFBhaW5zIG9mIEJlaW5nIFB1cmUgYXQgSGVhcnQgQ29tZSBTYXR1cmRheQ%3D%3D,Come Saturday
The Pains of Being Pure at Heart,https://lastfm.freetls.fastly.net/i/u/300x300/068b0a59f93142e6c2dcbb4eb8f74dc6.png,The Pains of Being Pure at Heart,2009-01-26,"New York group the Pains of Being Pure at Heart started out following the classic indie pop formula of pairing romantic, hooky songwriting with neurotic fuzz guitar. Principle songwriter, guitarist, and vocalist Kip Berman's particular knack for complex melodies and emotionally resonant songwriting helped the band stand out, and they evolved from scrappy noise pop beginnings to slicker, stadium-ready production by the time of their fourth album, 2017's The Echo of Pleasure.
New York-based musicians Alex Naidus (bass), Kip Berman (guitar/vocals), Kurt Feldman (drums), and Peggy Wang (keyboards/vocals) came together to form the Pains of Being Pure at Heart in 2007. They began as a low-key affair, writing short songs inspired by the fuzzy pop of My Bloody Valentine or Black Tambourine. Their first show was at a private party for Wang's birthday, playing five songs with a pre-recorded drum track. Their earliest songs were recorded for a self-titled CD-R on Cloudberry Records, followed soon after by a self-titled EP on the band's own Painbow imprint. In 2008, the group released a number of limited-edition split singles on Atomic Beat Records and Slumberland. Their first album, The Pains of Being Pure at Heart, was released in February 2009 on Slumberland, and the good reviews and positive press (including a spot on Late Night with Carson Daly) made them one of the most talked-about bands of early 2009.
After the release of the summer 2010 single Say No to Love, legendary producers Flood (Smashing Pumpkins) and Alan Moulder (My Bloody Valentine) were hired to give the band a slicker, more powerful sound. The resulting album, Belong, was released by Slumberland in March 2011. After touring their second album, the Pains of Being Pure at Heart returned to the U.S. and Berman began writing new material for their third album. With the departure of original keyboardist Peggy Wang and bassist Alex Naidus, Berman brought together a refreshed lineup -- which featured A Sunny Day in Glasgow's Jen Goma and brass player Kelly Pratt alongside Feldman -- to record the album with Andy Savours (My Bloody Valentine, Sigur Rós). The resulting Days of Abandon was produced by Andy Savours and released in 2014 by Yebo Music.
The group's next record was produced by Savours again and featured Berman handling most of the music himself, though Goma contributed vocals on many songs and touring bassist Jacob Danish Sloan helped out too. The sound of the album was heavily influenced by '80s new wave and pop, while the lyrics largely dealt with Berman's impending fatherhood. The Echo of Pleasure was released by Painbow Records in September 2017. In November 2019, Berman announced the band was no more. He continued writing and releasing solo songs as the Natvral, a moniker he had taken up shortly before the end of Pains. ~ Tim Sendra",Young Adult Friction,Unknown,https://www.youtube.com/watch?v=01ui9GR84OU&pp=ygU1VGhlIFBhaW5zIG9mIEJlaW5nIFB1cmUgYXQgSGVhcnQgWW91bmcgQWR1bHQgRnJpY3Rpb24%3D,"The Pains of Being Pure At Heart - ""Young Adult Friction"""
The Pains of Being Pure at Heart,https://lastfm.freetls.fastly.net/i/u/300x300/068b0a59f93142e6c2dcbb4eb8f74dc6.png,The Pains of Being Pure at Heart,2009-01-26,"New York group the Pains of Being Pure at Heart started out following the classic indie pop formula of pairing romantic, hooky songwriting with neurotic fuzz guitar. Principle songwriter, guitarist, and vocalist Kip Berman's particular knack for complex melodies and emotionally resonant songwriting helped the band stand out, and they evolved from scrappy noise pop beginnings to slicker, stadium-ready production by the time of their fourth album, 2017's The Echo of Pleasure.
New York-based musicians Alex Naidus (bass), Kip Berman (guitar/vocals), Kurt Feldman (drums), and Peggy Wang (keyboards/vocals) came together to form the Pains of Being Pure at Heart in 2007. They began as a low-key affair, writing short songs inspired by the fuzzy pop of My Bloody Valentine or Black Tambourine. Their first show was at a private party for Wang's birthday, playing five songs with a pre-recorded drum track. Their earliest songs were recorded for a self-titled CD-R on Cloudberry Records, followed soon after by a self-titled EP on the band's own Painbow imprint. In 2008, the group released a number of limited-edition split singles on Atomic Beat Records and Slumberland. Their first album, The Pains of Being Pure at Heart, was released in February 2009 on Slumberland, and the good reviews and positive press (including a spot on Late Night with Carson Daly) made them one of the most talked-about bands of early 2009.
After the release of the summer 2010 single Say No to Love, legendary producers Flood (Smashing Pumpkins) and Alan Moulder (My Bloody Valentine) were hired to give the band a slicker, more powerful sound. The resulting album, Belong, was released by Slumberland in March 2011. After touring their second album, the Pains of Being Pure at Heart returned to the U.S. and Berman began writing new material for their third album. With the departure of original keyboardist Peggy Wang and bassist Alex Naidus, Berman brought together a refreshed lineup -- which featured A Sunny Day in Glasgow's Jen Goma and brass player Kelly Pratt alongside Feldman -- to record the album with Andy Savours (My Bloody Valentine, Sigur Rós). The resulting Days of Abandon was produced by Andy Savours and released in 2014 by Yebo Music.
The group's next record was produced by Savours again and featured Berman handling most of the music himself, though Goma contributed vocals on many songs and touring bassist Jacob Danish Sloan helped out too. The sound of the album was heavily influenced by '80s new wave and pop, while the lyrics largely dealt with Berman's impending fatherhood. The Echo of Pleasure was released by Painbow Records in September 2017. In November 2019, Berman announced the band was no more. He continued writing and releasing solo songs as the Natvral, a moniker he had taken up shortly before the end of Pains. ~ Tim Sendra",This Love Is Fucking Right!,Unknown,https://www.youtube.com/watch?v=DXEoaXiH9Wk&pp=ygU7VGhlIFBhaW5zIG9mIEJlaW5nIFB1cmUgYXQgSGVhcnQgVGhpcyBMb3ZlIElzIEZ1Y2tpbmcgUmlnaHQ%3D,ERROR: Link Dead or Private
The Pains of Being Pure at Heart,https://lastfm.freetls.fastly.net/i/u/300x300/068b0a59f93142e6c2dcbb4eb8f74dc6.png,The Pains of Being Pure at Heart,2009-01-26,"New York group the Pains of Being Pure at Heart started out following the classic indie pop formula of pairing romantic, hooky songwriting with neurotic fuzz guitar. Principle songwriter, guitarist, and vocalist Kip Berman's particular knack for complex melodies and emotionally resonant songwriting helped the band stand out, and they evolved from scrappy noise pop beginnings to slicker, stadium-ready production by the time of their fourth album, 2017's The Echo of Pleasure.
New York-based musicians Alex Naidus (bass), Kip Berman (guitar/vocals), Kurt Feldman (drums), and Peggy Wang (keyboards/vocals) came together to form the Pains of Being Pure at Heart in 2007. They began as a low-key affair, writing short songs inspired by the fuzzy pop of My Bloody Valentine or Black Tambourine. Their first show was at a private party for Wang's birthday, playing five songs with a pre-recorded drum track. Their earliest songs were recorded for a self-titled CD-R on Cloudberry Records, followed soon after by a self-titled EP on the band's own Painbow imprint. In 2008, the group released a number of limited-edition split singles on Atomic Beat Records and Slumberland. Their first album, The Pains of Being Pure at Heart, was released in February 2009 on Slumberland, and the good reviews and positive press (including a spot on Late Night with Carson Daly) made them one of the most talked-about bands of early 2009.
After the release of the summer 2010 single Say No to Love, legendary producers Flood (Smashing Pumpkins) and Alan Moulder (My Bloody Valentine) were hired to give the band a slicker, more powerful sound. The resulting album, Belong, was released by Slumberland in March 2011. After touring their second album, the Pains of Being Pure at Heart returned to the U.S. and Berman began writing new material for their third album. With the departure of original keyboardist Peggy Wang and bassist Alex Naidus, Berman brought together a refreshed lineup -- which featured A Sunny Day in Glasgow's Jen Goma and brass player Kelly Pratt alongside Feldman -- to record the album with Andy Savours (My Bloody Valentine, Sigur Rós). The resulting Days of Abandon was produced by Andy Savours and released in 2014 by Yebo Music.
The group's next record was produced by Savours again and featured Berman handling most of the music himself, though Goma contributed vocals on many songs and touring bassist Jacob Danish Sloan helped out too. The sound of the album was heavily influenced by '80s new wave and pop, while the lyrics largely dealt with Berman's impending fatherhood. The Echo of Pleasure was released by Painbow Records in September 2017. In November 2019, Berman announced the band was no more. He continued writing and releasing solo songs as the Natvral, a moniker he had taken up shortly before the end of Pains. ~ Tim Sendra",The Tenure Itch,Unknown,https://www.youtube.com/watch?v=wW3--pluHSc&pp=ygUwVGhlIFBhaW5zIG9mIEJlaW5nIFB1cmUgYXQgSGVhcnQgVGhlIFRlbnVyZSBJdGNo,The Tenure Itch
The Pains of Being Pure at Heart,https://lastfm.freetls.fastly.net/i/u/300x300/068b0a59f93142e6c2dcbb4eb8f74dc6.png,The Pains of Being Pure at Heart,2009-01-26,"New York group the Pains of Being Pure at Heart started out following the classic indie pop formula of pairing romantic, hooky songwriting with neurotic fuzz guitar. Principle songwriter, guitarist, and vocalist Kip Berman's particular knack for complex melodies and emotionally resonant songwriting helped the band stand out, and they evolved from scrappy noise pop beginnings to slicker, stadium-ready production by the time of their fourth album, 2017's The Echo of Pleasure.
New York-based musicians Alex Naidus (bass), Kip Berman (guitar/vocals), Kurt Feldman (drums), and Peggy Wang (keyboards/vocals) came together to form the Pains of Being Pure at Heart in 2007. They began as a low-key affair, writing short songs inspired by the fuzzy pop of My Bloody Valentine or Black Tambourine. Their first show was at a private party for Wang's birthday, playing five songs with a pre-recorded drum track. Their earliest songs were recorded for a self-titled CD-R on Cloudberry Records, followed soon after by a self-titled EP on the band's own Painbow imprint. In 2008, the group released a number of limited-edition split singles on Atomic Beat Records and Slumberland. Their first album, The Pains of Being Pure at Heart, was released in February 2009 on Slumberland, and the good reviews and positive press (including a spot on Late Night with Carson Daly) made them one of the most talked-about bands of early 2009.
After the release of the summer 2010 single Say No to Love, legendary producers Flood (Smashing Pumpkins) and Alan Moulder (My Bloody Valentine) were hired to give the band a slicker, more powerful sound. The resulting album, Belong, was released by Slumberland in March 2011. After touring their second album, the Pains of Being Pure at Heart returned to the U.S. and Berman began writing new material for their third album. With the departure of original keyboardist Peggy Wang and bassist Alex Naidus, Berman brought together a refreshed lineup -- which featured A Sunny Day in Glasgow's Jen Goma and brass player Kelly Pratt alongside Feldman -- to record the album with Andy Savours (My Bloody Valentine, Sigur Rós). The resulting Days of Abandon was produced by Andy Savours and released in 2014 by Yebo Music.
The group's next record was produced by Savours again and featured Berman handling most of the music himself, though Goma contributed vocals on many songs and touring bassist Jacob Danish Sloan helped out too. The sound of the album was heavily influenced by '80s new wave and pop, while the lyrics largely dealt with Berman's impending fatherhood. The Echo of Pleasure was released by Painbow Records in September 2017. In November 2019, Berman announced the band was no more. He continued writing and releasing solo songs as the Natvral, a moniker he had taken up shortly before the end of Pains. ~ Tim Sendra",Stay Alive,Unknown,https://www.youtube.com/watch?v=YfGeMvTNxr4&pp=ygUtVGhlIFBhaW5zIG9mIEJlaW5nIFB1cmUgYXQgSGVhcnQgLSBTdGF5IEFsaXZl,Stay Alive
The Pains of Being Pure at Heart,https://lastfm.freetls.fastly.net/i/u/300x300/068b0a59f93142e6c2dcbb4eb8f74dc6.png,The Pains of Being Pure at Heart,2009-01-26,"New York group the Pains of Being Pure at Heart started out following the classic indie pop formula of pairing romantic, hooky songwriting with neurotic fuzz guitar. Principle songwriter, guitarist, and vocalist Kip Berman's particular knack for complex melodies and emotionally resonant songwriting helped the band stand out, and they evolved from scrappy noise pop beginnings to slicker, stadium-ready production by the time of their fourth album, 2017's The Echo of Pleasure.
New York-based musicians Alex Naidus (bass), Kip Berman (guitar/vocals), Kurt Feldman (drums), and Peggy Wang (keyboards/vocals) came together to form the Pains of Being Pure at Heart in 2007. They began as a low-key affair, writing short songs inspired by the fuzzy pop of My Bloody Valentine or Black Tambourine. Their first show was at a private party for Wang's birthday, playing five songs with a pre-recorded drum track. Their earliest songs were recorded for a self-titled CD-R on Cloudberry Records, followed soon after by a self-titled EP on the band's own Painbow imprint. In 2008, the group released a number of limited-edition split singles on Atomic Beat Records and Slumberland. Their first album, The Pains of Being Pure at Heart, was released in February 2009 on Slumberland, and the good reviews and positive press (including a spot on Late Night with Carson Daly) made them one of the most talked-about bands of early 2009.
After the release of the summer 2010 single Say No to Love, legendary producers Flood (Smashing Pumpkins) and Alan Moulder (My Bloody Valentine) were hired to give the band a slicker, more powerful sound. The resulting album, Belong, was released by Slumberland in March 2011. After touring their second album, the Pains of Being Pure at Heart returned to the U.S. and Berman began writing new material for their third album. With the departure of original keyboardist Peggy Wang and bassist Alex Naidus, Berman brought together a refreshed lineup -- which featured A Sunny Day in Glasgow's Jen Goma and brass player Kelly Pratt alongside Feldman -- to record the album with Andy Savours (My Bloody Valentine, Sigur Rós). The resulting Days of Abandon was produced by Andy Savours and released in 2014 by Yebo Music.
The group's next record was produced by Savours again and featured Berman handling most of the music himself, though Goma contributed vocals on many songs and touring bassist Jacob Danish Sloan helped out too. The sound of the album was heavily influenced by '80s new wave and pop, while the lyrics largely dealt with Berman's impending fatherhood. The Echo of Pleasure was released by Painbow Records in September 2017. In November 2019, Berman announced the band was no more. He continued writing and releasing solo songs as the Natvral, a moniker he had taken up shortly before the end of Pains. ~ Tim Sendra",Everything With You,Unknown,https://www.youtube.com/watch?v=KLVrTruj_Aw&pp=ygU0VGhlIFBhaW5zIG9mIEJlaW5nIFB1cmUgYXQgSGVhcnQgRXZlcnl0aGluZyBXaXRoIFlvdQ%3D%3D,"The Pains Of Being Pure At Heart - ""Everything With You"" Super 8"
The Pains of Being Pure at Heart,https://lastfm.freetls.fastly.net/i/u/300x300/068b0a59f93142e6c2dcbb4eb8f74dc6.png,The Pains of Being Pure at Heart,2009-01-26,"New York group the Pains of Being Pure at Heart started out following the classic indie pop formula of pairing romantic, hooky songwriting with neurotic fuzz guitar. Principle songwriter, guitarist, and vocalist Kip Berman's particular knack for complex melodies and emotionally resonant songwriting helped the band stand out, and they evolved from scrappy noise pop beginnings to slicker, stadium-ready production by the time of their fourth album, 2017's The Echo of Pleasure.
New York-based musicians Alex Naidus (bass), Kip Berman (guitar/vocals), Kurt Feldman (drums), and Peggy Wang (keyboards/vocals) came together to form the Pains of Being Pure at Heart in 2007. They began as a low-key affair, writing short songs inspired by the fuzzy pop of My Bloody Valentine or Black Tambourine. Their first show was at a private party for Wang's birthday, playing five songs with a pre-recorded drum track. Their earliest songs were recorded for a self-titled CD-R on Cloudberry Records, followed soon after by a self-titled EP on the band's own Painbow imprint. In 2008, the group released a number of limited-edition split singles on Atomic Beat Records and Slumberland. Their first album, The Pains of Being Pure at Heart, was released in February 2009 on Slumberland, and the good reviews and positive press (including a spot on Late Night with Carson Daly) made them one of the most talked-about bands of early 2009.
After the release of the summer 2010 single Say No to Love, legendary producers Flood (Smashing Pumpkins) and Alan Moulder (My Bloody Valentine) were hired to give the band a slicker, more powerful sound. The resulting album, Belong, was released by Slumberland in March 2011. After touring their second album, the Pains of Being Pure at Heart returned to the U.S. and Berman began writing new material for their third album. With the departure of original keyboardist Peggy Wang and bassist Alex Naidus, Berman brought together a refreshed lineup -- which featured A Sunny Day in Glasgow's Jen Goma and brass player Kelly Pratt alongside Feldman -- to record the album with Andy Savours (My Bloody Valentine, Sigur Rós). The resulting Days of Abandon was produced by Andy Savours and released in 2014 by Yebo Music.
The group's next record was produced by Savours again and featured Berman handling most of the music himself, though Goma contributed vocals on many songs and touring bassist Jacob Danish Sloan helped out too. The sound of the album was heavily influenced by '80s new wave and pop, while the lyrics largely dealt with Berman's impending fatherhood. The Echo of Pleasure was released by Painbow Records in September 2017. In November 2019, Berman announced the band was no more. He continued writing and releasing solo songs as the Natvral, a moniker he had taken up shortly before the end of Pains. ~ Tim Sendra",A Teenager in Love,Unknown,https://www.youtube.com/watch?v=x9t46RDHvVw&pp=ygUzVGhlIFBhaW5zIG9mIEJlaW5nIFB1cmUgYXQgSGVhcnQgQSBUZWVuYWdlciBpbiBMb3Zl,A Teenager in Love
The Pains of Being Pure at Heart,https://lastfm.freetls.fastly.net/i/u/300x300/068b0a59f93142e6c2dcbb4eb8f74dc6.png,The Pains of Being Pure at Heart,2009-01-26,"New York group the Pains of Being Pure at Heart started out following the classic indie pop formula of pairing romantic, hooky songwriting with neurotic fuzz guitar. Principle songwriter, guitarist, and vocalist Kip Berman's particular knack for complex melodies and emotionally resonant songwriting helped the band stand out, and they evolved from scrappy noise pop beginnings to slicker, stadium-ready production by the time of their fourth album, 2017's The Echo of Pleasure.
New York-based musicians Alex Naidus (bass), Kip Berman (guitar/vocals), Kurt Feldman (drums), and Peggy Wang (keyboards/vocals) came together to form the Pains of Being Pure at Heart in 2007. They began as a low-key affair, writing short songs inspired by the fuzzy pop of My Bloody Valentine or Black Tambourine. Their first show was at a private party for Wang's birthday, playing five songs with a pre-recorded drum track. Their earliest songs were recorded for a self-titled CD-R on Cloudberry Records, followed soon after by a self-titled EP on the band's own Painbow imprint. In 2008, the group released a number of limited-edition split singles on Atomic Beat Records and Slumberland. Their first album, The Pains of Being Pure at Heart, was released in February 2009 on Slumberland, and the good reviews and positive press (including a spot on Late Night with Carson Daly) made them one of the most talked-about bands of early 2009.
After the release of the summer 2010 single Say No to Love, legendary producers Flood (Smashing Pumpkins) and Alan Moulder (My Bloody Valentine) were hired to give the band a slicker, more powerful sound. The resulting album, Belong, was released by Slumberland in March 2011. After touring their second album, the Pains of Being Pure at Heart returned to the U.S. and Berman began writing new material for their third album. With the departure of original keyboardist Peggy Wang and bassist Alex Naidus, Berman brought together a refreshed lineup -- which featured A Sunny Day in Glasgow's Jen Goma and brass player Kelly Pratt alongside Feldman -- to record the album with Andy Savours (My Bloody Valentine, Sigur Rós). The resulting Days of Abandon was produced by Andy Savours and released in 2014 by Yebo Music.
The group's next record was produced by Savours again and featured Berman handling most of the music himself, though Goma contributed vocals on many songs and touring bassist Jacob Danish Sloan helped out too. The sound of the album was heavily influenced by '80s new wave and pop, while the lyrics largely dealt with Berman's impending fatherhood. The Echo of Pleasure was released by Painbow Records in September 2017. In November 2019, Berman announced the band was no more. He continued writing and releasing solo songs as the Natvral, a moniker he had taken up shortly before the end of Pains. ~ Tim Sendra",Hey Paul,Unknown,https://www.youtube.com/watch?v=4eeDwbzHvJU&pp=ygUpVGhlIFBhaW5zIG9mIEJlaW5nIFB1cmUgYXQgSGVhcnQgSGV5IFBhdWzSBwkJfgkBhyohjO8%3D,Hey Paul
The Pains of Being Pure at Heart,https://lastfm.freetls.fastly.net/i/u/300x300/068b0a59f93142e6c2dcbb4eb8f74dc6.png,The Pains of Being Pure at Heart,2009-01-26,"New York group the Pains of Being Pure at Heart started out following the classic indie pop formula of pairing romantic, hooky songwriting with neurotic fuzz guitar. Principle songwriter, guitarist, and vocalist Kip Berman's particular knack for complex melodies and emotionally resonant songwriting helped the band stand out, and they evolved from scrappy noise pop beginnings to slicker, stadium-ready production by the time of their fourth album, 2017's The Echo of Pleasure.
New York-based musicians Alex Naidus (bass), Kip Berman (guitar/vocals), Kurt Feldman (drums), and Peggy Wang (keyboards/vocals) came together to form the Pains of Being Pure at Heart in 2007. They began as a low-key affair, writing short songs inspired by the fuzzy pop of My Bloody Valentine or Black Tambourine. Their first show was at a private party for Wang's birthday, playing five songs with a pre-recorded drum track. Their earliest songs were recorded for a self-titled CD-R on Cloudberry Records, followed soon after by a self-titled EP on the band's own Painbow imprint. In 2008, the group released a number of limited-edition split singles on Atomic Beat Records and Slumberland. Their first album, The Pains of Being Pure at Heart, was released in February 2009 on Slumberland, and the good reviews and positive press (including a spot on Late Night with Carson Daly) made them one of the most talked-about bands of early 2009.
After the release of the summer 2010 single Say No to Love, legendary producers Flood (Smashing Pumpkins) and Alan Moulder (My Bloody Valentine) were hired to give the band a slicker, more powerful sound. The resulting album, Belong, was released by Slumberland in March 2011. After touring their second album, the Pains of Being Pure at Heart returned to the U.S. and Berman began writing new material for their third album. With the departure of original keyboardist Peggy Wang and bassist Alex Naidus, Berman brought together a refreshed lineup -- which featured A Sunny Day in Glasgow's Jen Goma and brass player Kelly Pratt alongside Feldman -- to record the album with Andy Savours (My Bloody Valentine, Sigur Rós). The resulting Days of Abandon was produced by Andy Savours and released in 2014 by Yebo Music.
The group's next record was produced by Savours again and featured Berman handling most of the music himself, though Goma contributed vocals on many songs and touring bassist Jacob Danish Sloan helped out too. The sound of the album was heavily influenced by '80s new wave and pop, while the lyrics largely dealt with Berman's impending fatherhood. The Echo of Pleasure was released by Painbow Records in September 2017. In November 2019, Berman announced the band was no more. He continued writing and releasing solo songs as the Natvral, a moniker he had taken up shortly before the end of Pains. ~ Tim Sendra",Gentle Sons,Unknown,https://www.youtube.com/watch?v=iRwqWubCdbA&pp=ygUuVGhlIFBhaW5zIG9mIEJlaW5nIFB1cmUgYXQgSGVhcnQgLSBHZW50bGUgU29ucw%3D%3D,Gentle Sons
Known Associates,https://lastfm.freetls.fastly.net/i/u/300x300/86cd5b2acbdb6319c0d00244727e797d.jpg,The Paranoid Style,2026-02-13,"The Paranoid Style is a sprawling garage-punk-pop outfit built around writer, singer, and songwriter Elizabeth Nelson, who counts T. Rex, the Mekons, and Elvis Costello among her influences. Nelson's articulate vocal delivery is fitting for a band named after historian Richard J. Hofstadter's 1964 essay ""The Paranoid Style in American Politics."" She and her husband, Timothy Bracy of the Mendoza Line, lead a fluctuating lineup sometimes numbering over a dozen players. They established their protest- and satire-minded approach on a string of EPs leading up to their full-length debut, 2016's Rolling Disclosure. With that era's socio-political climate providing endless inspiration and motivation, they continued to release a steady stream of EPs, singles, and LPs over the next decade, including the long-players A Goddamn Impossible Way of Life (2019), For Executive Meeting (2022), and The Interrogator (2024), with the latter welcoming the dB's Peter Holsapple to the official lineup. Featuring a selection of fun classic rock references, the band's fifth album, Known Associates, followed in 2026.
Formed in Washington, D.C. in 2012, the Paranoid Style were soon invited to join the roster at Bar/None Records, which digitally released their first EP, The Purposes of Music in General, in March 2013. It included a cover of Belle and Sebastian's ""Like Dylan in the Movies."" Misra Records combined The Purposes of Music in General with the project's second EP, The Power of Our Proven System, for a cassette release that November. A third EP, the more aggressive and strutting Rock & Roll Just Can’t Recall, appeared on Battle Worldwide Recordings in March of 2015. All three EPs combined protest, satire, and pop culture, a trademark of all Paranoid Style releases.
The band's full-length debut, Rolling Disclosure, arrived on Bar/None in July of 2016 and included a cover of Wreckless Eric's ""Duvet Fever."" While all the original songs were written by Nelson and Bracy, the album's ten-member lineup also included personalities like the Minus 5's Scott McCaughey and the A-Bones' Bruce Bennett.
Next up for the group was the EP Underworld USA, whose personnel included Bennett and the dB's Peter Holsapple. It appeared on Bar/None in October 2017. A split single with Wussy followed in 2018, as did an expanded version of Rock & Roll Just Can't Recall (Rock & Roll Just Can't Recall + 3). 2019 saw the release of their sophomore LP, A Goddamn Impossible Way of Life. Packed with references, its most conspicuous was a take on Neil Young in the form of ""Expecting to Fly (Economy)."" In 2020, a live compilation called The Paranoid Style in Jammin Java Outrage!! consisted mainly of an April 2018 show in Vienna, Virginia recorded ""by a guy who made it clear he was not a fan"" (per the liner notes).
The group's third studio album, For Executive Metting, saw release in August 2022. Featuring an appearance by Drive-By Trucker Patterson Hood and containing tributes to artist Barney Bubbles and musicians John Prine, David Berman, and Adam Schlesinger, it closed with a cover of Rosanne Cash's ""Seven Year Ache.""
Bar/None issued the group's fourth full-length, The Interrogator, in February 2024. It featured the lineup of Nelson, Bracy, Holsapple (lead guitar), William Matheny (keyboards/guitar), William Corrin (bass), and Jon Langmead (drums), along with guest appearances by Will Rigby (the dB's), Matt Douglas (the Mountain Goats), and Lisa Walker (Wussy). Except for new bassist Michael Venutolo-Mantovani (who is also a freelance writer), nearly the same lineup returned for February 2026's Known Associates. Its guests included Douglas and Dwight Yoakam guitarist Eugene Edwards. ~ Marcy Donelson",Tearing the Ticket,Unknown,https://www.youtube.com/watch?v=jJ6w0F810yo&list=RDjJ6w0F810yo&start_radio=1&pp=ygUnVGhlIFBhcmFub2lkIFN0eWxlIC0gVGVhcmluZyB0aGUgVGlja2V0oAcB,ERROR: Link Dead or Private
