Movies,Year,Watched,Random Movie
2:22,2008,FALSE,Spirited
11:14,2003,FALSE,
$9.99,2009,FALSE,
2012,2009,FALSE,
2046,2004,FALSE,
...ALL THE MARBLES (Aldrich);,,FALSE,
"‘Burbs, the",1989,FALSE,
[REC] (Jaume Balagueró & Paco Plaza),,TRUE,
10 Rillington Place,1971,FALSE,
10 to Midnight,1983,FALSE,
12 ANGRY MEN (Sidney Lumet),,FALSE,
12 MONKEYS (Gilliam),,FALSE,
12 YEARS A SLAVE (Mcqueen),,FALSE,
12:08 East of Bucharest,2006,FALSE,
13 ASSASSINS (Takashi Miike),,FALSE,
13 Going on 30 (2004),2004,FALSE,
16 Blocks,2006,TRUE,
1917 (Mendes),,TRUE,
1990: The Bronx Warriors,1982,FALSE,
20 Million Miles to Earth,1957,FALSE,
200 Motels,1971,FALSE,
2001: A SPACE ODYSSEY (Stanley Kubrick),,FALSE,
2019: After the Fall of New York,1983,FALSE,
20TH CENTURY WOMEN (Mike Mills),,TRUE,
21 Grams,2003,FALSE,
24 Frames (Kiarostami),2017,FALSE,
24 Hour Party People,2002,TRUE,
24hr Party People,2002,FALSE,
25th Hour,1967,TRUE,
25TH HOUR (Spike Lee),,FALSE,
28 Up,1984,TRUE,
3 IDIOTS (Hirani),,FALSE,
3 Women,1977,FALSE,
3 WOMEN (Robert Altman),,TRUE,
"3:15, The moment of Truth",1986,FALSE,
30 Door Key,1991,FALSE,
35 Shots of Rum,2008,FALSE,
36 Fillette (1988),,FALSE,
"36TH CHAMBER OF SHAOLIN, The (Liu Chia-Liang)",,FALSE,
"39 STEPS, The (Alfred Hitchcock)",,FALSE,
4 Hours to kill (1935),,FALSE,
4 Little Girls,,FALSE,
"4 Months, 3 Weeks and 2 Days",2007,FALSE,
"400 BLOWS, The (François Truffaut)",,FALSE,
42ND STREET (Lloyd Bacon),,FALSE,
45 (Haigh),2015,FALSE,
48 Hrs.,1982,FALSE,
48 HRS. (Walter Hill),,FALSE,
49th PARALLEL (Michael Powell),,FALSE,
"4th Man, The",1983,FALSE,
5 Fingers of Death,1972,FALSE,
52 PICK UP (Frankenheimer);,,FALSE,
52 Pick-Up,1986,TRUE,
68 Kill,2017,TRUE,
7 Faces of Dr. Lao,1964,FALSE,
7 Khoon Maaf,2011,FALSE,
7 KOGUSTAKI MUCIZE (Öztekin),,FALSE,
78/52,2017,FALSE,
8 ½ (Frederico Fellini),,FALSE,
8 BED AND BOARD (François Truffaut),,FALSE,
8 Diagram Pole Fighter,1984,FALSE,
8 femmes,2002,FALSE,
8 Mile,2002,FALSE,
8 Million Ways To Die,1986,FALSE,
8 WOMEN (Ozon);,,TRUE,
8½,2008,FALSE,
84C MoPic,1989,FALSE,
9 ½ Weeks,1986,FALSE,
9 Deaths of the Ninja,1985,FALSE,
964 Pinocchio,1991,FALSE,
A BAY OF BLOOD (Bava),,TRUE,
A BEAUTIFUL MIND (Howard);,2001,TRUE,
A Better Tomorrow,1994,FALSE,
A BETTER TOMORROW (Woo),,FALSE,
A BIGGER SPLASH (Guadagnino);,,FALSE,
A Bittersweet Life,2005,FALSE,
A Boy and His Dog,1946,FALSE,
A Breed Apart,1984,FALSE,
A Bronx Tale,1993,FALSE,
A BRONX TALE (De Niro,,FALSE,
A Bucket of Blood,1995,FALSE,
A CANTERBURY TALE (Michael Powell and Emeric Pressburger),,FALSE,
A Cat in the Brain,1990,FALSE,
A CHRISTMAS TALE (Arnaud Desplechin),,FALSE,
A CLOCKWORK ORANGE (Stanley Kubrick),,FALSE,
A CLOSE SHAVE (Park),,FALSE,
A Colt Is My Passport,1967,FALSE,
A Cop (1972),,FALSE,
A Crack in the Floor,2001,FALSE,
A Cry For Help (1975),,FALSE,
A Cure for Wellness,2017,TRUE,
A Dangerous Method,2011,FALSE,
A Dangerous Summer,1982,FALSE,
A DAY AT THE RACES,,TRUE,
A DAY IN THE COUNTRY (Renoir),,FALSE,
A Day in the Life,2021,FALSE,
A DAY WITH THE BOYS (Gulager),,FALSE,
A Decade Under the Influence,2003,FALSE,
A Different Man (2024),,FALSE,
A Dim Valley,2020,FALSE,
A FACE IN THE CROWD (Elia Kazan),,FALSE,
A Family Affair (2024),,TRUE,
A Fever in the Blood,1961,FALSE,
A Field in England,2013,FALSE,
A Field of Honor (1973),,FALSE,
A FISH CALLED WANDA (Crichton);,,TRUE,
A Flash of Green,1984,FALSE,
A Futile and Stupid Gesture,2018,FALSE,
A Ghost Story,1990,FALSE,
A GHOST STORY (David Lowery),,FALSE,
A Ghost Waits,2020,FALSE,
A Girl Cut in Two,2007,TRUE,
A Girl Walks Home Alone at Night,2014,FALSE,
A Glitch in the Matrix,2021,FALSE,
A Good Person,,FALSE,
A GRAND DAY OUT (Park);,,FALSE,
A Guide To Recognizing Your Saints,2006,FALSE,
A HARD DAY'S NIGHT (Richard Lester),,FALSE,
A Hero,2021,FALSE,
A HIGH WIND IN JAMAICA (Alexander Mackendrick),,TRUE,
A History of Violence,2005,FALSE,
A HISTORY OF VIOLENCE (Cronenberg),,FALSE,
A Killer Among Friends,1992,FALSE,
A Killing Affair,1977,FALSE,
A Kiss Before Dying,1956,FALSE,
À l’aventure,2008,FALSE,
A LETTER TO THREE WOMEN,,FALSE,
A Life in Suitcases,2005,FALSE,
A Little Princess,1995,FALSE,
A MAN ESCAPED (Robert Bresson),,FALSE,
A MAN FOR ALL SEASONS (Fred Zinnemann),,FALSE,
A MATTER OF LIFE AND DEATH (Michael Powell and Emeric Pressburger),,FALSE,
A Mighty Heart,2007,FALSE,
A MIGHTY WIND (Guest),,FALSE,
A Moment of Innocence (1996),,FALSE,
A MOST WANTED MAN (Anton Corbijn),,FALSE,
A Movie (Conner),,FALSE,
A NEW LEAF (Elaine May),,TRUE,
A NIGHT AT THE OPERA (Sam Wood),,FALSE,
A Night in Nude,1993,FALSE,
A Night in Nude: Salvation,2010,TRUE,
A Night to Dismember,1983,FALSE,
A Perfect Murder,1998,FALSE,
A Perfect World,1993,TRUE,
A Pigeon Sat on a Branch Reflecting on Existence,2014,TRUE,
A Prairie Home Companion,2006,FALSE,
A Prayer for the Dying,1987,TRUE,
A Prophet,2009,FALSE,
A QUIET PLACE (Krasinski);,,FALSE,
A Quiet Place Part 2,,FALSE,
A Rage in Harlem,1991,FALSE,
A Real Pain (2024),,FALSE,
A Real Young Girl,1976,FALSE,
A Report on the Party and the Guests,1966,FALSE,
A Scanner Darkly,2006,FALSE,
A SCANNER DARKLY (Richard Linklater),,FALSE,
A Seperation,,FALSE,
A Serious Man,2009,FALSE,
A SERIOUS MAN (Coen),,TRUE,
A Short Film About Killing,1988,FALSE,
A Simple Plan,1998,TRUE,
A SIMPLE PLAN (Sam Raimi),,FALSE,
A STAR IS BORN (George Cukor),,FALSE,
A Stone in the Mouth,1983,FALSE,
A SUMMER DRESS (Ozon),,FALSE,
A SUMMER'S TALE (Eric Rohmer),,FALSE,
A Sunday in the Country,1984,FALSE,
A Tale Of Autumn,1998,FALSE,
A Tale of Two Sisters,2003,FALSE,
A TALE OF WINTER (Eric Rohmer),,FALSE,
A Talking Cat!?!,2013,FALSE,
A Time For Dying,1969,FALSE,
A Touch of Sin,2013,FALSE,
A Town Called Panic,2009,FALSE,
A Very Murray Christmas,2015,FALSE,
A WALK AMONG THE TOMBSTONES (Scott Frank),,FALSE,
A Walk in the Clouds,1995,FALSE,
A WALK IN THE SUN (Lewis Milestone),,FALSE,
A Warning To The Curious,1972,FALSE,
A WOMAN IS A WOMAN (Jean-luc Godard),,FALSE,
A WOMAN UNDER THE INFLUENCE (Cassavetes),,TRUE,
"A Woman, a Gun and a Noodle Shop",2009,TRUE,
A Wounded Fawn,2022,FALSE,
A Zed & Two Noughts,1985,FALSE,
Aaranya Kaandam,2011,FALSE,
Abbot and Costello Meet Frankenstein,1948,FALSE,
Abigail’s Party,1977,TRUE,
About a Boy,2002,FALSE,
About Endlessness,2019,FALSE,
Above the Law,2017,FALSE,
Absence of Malice,1981,TRUE,
Absolute Power,1997,FALSE,
Absolution (2024),,FALSE,
"Abyss, The",1989,FALSE,
Accident,2017,FALSE,
"ACCIDENTAL TOURIST, The (Kasdan)",,FALSE,
ACE IN THE HOLE (Billy Wilder),,FALSE,
Across 110th Street,1972,FALSE,
ACROSS 110TH STREET (Shear),,FALSE,
Across the Universe,2007,FALSE,
ACROSS THE UNIVERSE (Anderson),,FALSE,
Acting on Impulse,1993,FALSE,
Action Jackson,2014,FALSE,
AD ASTRA (James Gray),,FALSE,
Adam’s Rib,1949,FALSE,
Adaptation.,2002,FALSE,
"Addiction, The",1995,FALSE,
ADDRESS UNKNOWN (William Cameron Menzies),,FALSE,
Adult Swim Yule Log,2022,FALSE,
"Adults, The",,FALSE,
Advantageous,2012,FALSE,
ADVENTURELAND (Greg Mottola),,FALSE,
"Adventures of Buckaroo Bonzai Across the 8th Dimension, The",1984,FALSE,
"Adventures of Prince Achmed, The (1926)",,FALSE,
"ADVENTURES OF ROBIN HOOD, The (Michael Curtiz & William Keighley)",,FALSE,
ADVISE & CONSENT (Otto Preminger),,FALSE,
Ænigma,1987,FALSE,
Aenigma (1987),,FALSE,
Affliction,1997,TRUE,
AFFLICTION (Schrader),,TRUE,
Afire,,FALSE,
Afraid So,2006,FALSE,
"AFRICAN QUEEN, The (Huston)",,FALSE,
After Blue (Dirty Paradise),2021,TRUE,
"After Dark, My Sweet",1990,FALSE,
