Album,AlbumArtLink,Artist,ReleaseDate,Summary,Title,Year,YouTubeLink
Rocanroles sin destino,https://lastfm.freetls.fastly.net/i/u/300x300/627c55d2035e94b11194194ab4b673fd.jpg,Callejeros,2004-01-01,"Latin rock band from Argentina Callejeros started playing covers of Credence Clearwater Revival and the Rolling Stones under the name of Rio Verde, changing its name in January 1997. The band self-produced their first album in October 1998. They soon became an opening act for Ratones Paranoicos and Viejas Locas, performing along with la Renga and Divididos in 2000. That same year, Callejeros recorded Adelantos. ~ Drago Bonacich",Tratando de olvidar,Unknown,https://www.youtube.com/watch?v=VJ6qakz-LXI&pp=ygUeQ2FsbGVqZXJvcyBUcmF0YW5kbyBkZSBvbHZpZGFy
Rocanroles sin destino,https://lastfm.freetls.fastly.net/i/u/300x300/627c55d2035e94b11194194ab4b673fd.jpg,Callejeros,2004-01-01,"Latin rock band from Argentina Callejeros started playing covers of Credence Clearwater Revival and the Rolling Stones under the name of Rio Verde, changing its name in January 1997. The band self-produced their first album in October 1998. They soon became an opening act for Ratones Paranoicos and Viejas Locas, performing along with la Renga and Divididos in 2000. That same year, Callejeros recorded Adelantos. ~ Drago Bonacich",Rocanroles sin destino,Unknown,https://www.youtube.com/watch?v=MWwaih5U710&pp=ygUhQ2FsbGVqZXJvcyBSb2NhbnJvbGVzIHNpbiBkZXN0aW5v
Rocanroles sin destino,https://lastfm.freetls.fastly.net/i/u/300x300/627c55d2035e94b11194194ab4b673fd.jpg,Callejeros,2004-01-01,"Latin rock band from Argentina Callejeros started playing covers of Credence Clearwater Revival and the Rolling Stones under the name of Rio Verde, changing its name in January 1997. The band self-produced their first album in October 1998. They soon became an opening act for Ratones Paranoicos and Viejas Locas, performing along with la Renga and Divididos in 2000. That same year, Callejeros recorded Adelantos. ~ Drago Bonacich",La llave,Unknown,https://www.youtube.com/watch?v=PDkxLGd9rjg&pp=ygUTQ2FsbGVqZXJvcyBMYSBsbGF2ZQ%3D%3D
Rocanroles sin destino,https://lastfm.freetls.fastly.net/i/u/300x300/627c55d2035e94b11194194ab4b673fd.jpg,Callejeros,2004-01-01,"Latin rock band from Argentina Callejeros started playing covers of Credence Clearwater Revival and the Rolling Stones under the name of Rio Verde, changing its name in January 1997. The band self-produced their first album in October 1998. They soon became an opening act for Ratones Paranoicos and Viejas Locas, performing along with la Renga and Divididos in 2000. That same year, Callejeros recorded Adelantos. ~ Drago Bonacich",Parte menor,Unknown,https://www.youtube.com/watch?v=jLWqhZs9SEM&pp=ygUWQ2FsbGVqZXJvcyBQYXJ0ZSBtZW5vcg%3D%3D
For Whom the Beat Tolls,https://lastfm.freetls.fastly.net/i/u/300x300/0637449c7ff7e4f05b6ac17a1382923c.jpg,Canibus,2007-06-12,"In the late '90s, Jamaican-American battle rapper Canibus seemed poised to make a mark in the game with his aggressive, snarling rhymes and hardcore posturing. Following some underground work and cameo appearances -- most notably on Wyclef Jean's ""Gone Till November"" remix in 1997 -- he issued his debut, Can-I-Bus, in 1998. While the set was a hit, his sophomore follow-up, 2000 B.C. (Before Can-I-Bus), and high-profile feuds distracted attention from his music, while label issues left him without a home into the 21st century. Although 2003's Rip the Jacker and 2010's C of Tranquility briefly returned Canibus to the rap chart, his dozen subsequent albums and mixtapes were delivered to a devoted cult following.
Born Germaine Williams in 1974 in Kingston, Jamaica, Canibus moved to the United States with his mother at a young age. Because his mother's career required constant relocation, the family moved frequently, and the soon-to-be rapper found solace within himself. His rhetorical abilities blossomed later, once hip-hop became the guiding force in his life. He began rhyming and in the mid-'90s joined a group called T.H.E.M. (The Heralds of Extreme Metaphors), which also consisted of his partner Webb. Following a fallout with Webb, Canibus pursued a solo career and began infiltrating the mixtape circuit. By 1997, he had approached the brink of the major-label rap game, guesting regularly on high-profile releases: he contributed to ""Uni-4-orm,"" an inclusion on the Rhyme & Reason soundtrack also featuring Heltah Skeltah and Ras Kass; ""Love, Peace & Nappiness,"" an inclusion on the Lost Boyz's Love, Peace & Nappiness also featuring Redman and A+; ""Making a Name for Ourselves,"" an inclusion on Common's One Day It'll All Make Sense; the non-album remix of Wyclef Jean's ""Gone Til November,"" and most famously, ""4, 3, 2, 1,"" an inclusion on LL Cool J's Phenomenon also featuring Redman, DMX, and Method Man.
Of the several guest appearances, ""4, 3, 2, 1"" certainly meant the most, as it brought together many of New York's preeminent hardcore rappers and thus ushered Canibus into that same elite class. At the same time, however, Canibus lashed out shortly afterward with the Mike Tyson-featuring ""Second Round K.O.,"" where he rhymed, ""So I'ma let the world know the truth, you don't want me to shine/You studied my rhyme, then you laid your vocals after mine."" In fact, the entirety of the song directed barbed rhymes at LL: ""You walk around showin' off your body cause it sells/Plus to avoid the fact that you ain't got skills/Mad at me 'cause I kick that shit real niggaz feel/While 99 percent of your fans wear high heels,"" and so on. Shortly thereafter, LL sought his revenge, releasing ""The Ripper Strikes Back"" on the 1998 soundtrack Survival of the Illest soundtrack and thus channeling even more attention toward Canibus. From the track's chorus to practically every line of the verses, LL unleashed a fury of insults and threats. The media elevated the battle to grand heights, and even MTV gave the story headlines. In the aftermath of 2Pac's and Biggie's deaths, such confrontations fascinated the rap community, and Canibus certainly capitalized on his newfound publicity.
As for his 1998 debut full-length, Can-I-Bus, though, the response was mixed. Critics expressed little support, while it sold over half a million copies. Negative reviews targeted Canibus' delivery (more than his lyrics or themes), as well as Wyclef's productions. The momentum that ""Second Round K.O."" had generated simmered almost immediately, and it didn't help that LL's ""Ripper Strikes Back"" found substantial acceptance at the time. In the two years following the release of Can-I-Bus, the rapper maintained a low profile in contrast to the regular guest appearances he had made leading up to his debut. As a result, when he finally did return with his 2000 follow-up album, 2000 B.C., he didn't have the same level of mainstream clout, and the album was not promoted heavily; Canibus subsequently returned to the underground after parting ways with Universal.
He continued to record albums and release them on the independent circuit. These discs included 2002's Mic Club (the first release on his own Mic Club Music label), 2003's Rip the Jacker, and 2005's Mind Control. During this period, Canibus also served in the U.S. Army. He was just as productive following his discharge and released several additional sets in the following years. On 2010's Melatonin Magik, his confrontational nature led to swipes at D12 and Eminem, but he was no lone wolf. The 2011 release Lyrical Warfare saw him working beside the likes of Killah Priest, Ras Kass, and Chino XL. Fait Accompli, produced strictly by J.P. Beats, was released in 2014 with a guest verse from Tragedy Khadafi. The following year brought Time Flys, Life Dies...Phoenix Rise, an album-length collaboration with producer/rapper Bronze Nazareth. The gravel-throated rapper returned in 2018 with Full Spectrum Dominance, a short album that featured Nappi Music, Thanos Beats, and more. ~ Jason Birchmeier",Harbinger of Light,Unknown,https://www.youtube.com/watch?v=B8ZmXDdFWAs&list=RDB8ZmXDdFWAs&start_radio=1&pp=ygUcQ2FuaWJ1cyAtIEhhcmJpbmdlciBvZiBMaWdodKAHAQ%3D%3D
For Whom the Beat Tolls,https://lastfm.freetls.fastly.net/i/u/300x300/0637449c7ff7e4f05b6ac17a1382923c.jpg,Canibus,2007-06-12,"In the late '90s, Jamaican-American battle rapper Canibus seemed poised to make a mark in the game with his aggressive, snarling rhymes and hardcore posturing. Following some underground work and cameo appearances -- most notably on Wyclef Jean's ""Gone Till November"" remix in 1997 -- he issued his debut, Can-I-Bus, in 1998. While the set was a hit, his sophomore follow-up, 2000 B.C. (Before Can-I-Bus), and high-profile feuds distracted attention from his music, while label issues left him without a home into the 21st century. Although 2003's Rip the Jacker and 2010's C of Tranquility briefly returned Canibus to the rap chart, his dozen subsequent albums and mixtapes were delivered to a devoted cult following.
Born Germaine Williams in 1974 in Kingston, Jamaica, Canibus moved to the United States with his mother at a young age. Because his mother's career required constant relocation, the family moved frequently, and the soon-to-be rapper found solace within himself. His rhetorical abilities blossomed later, once hip-hop became the guiding force in his life. He began rhyming and in the mid-'90s joined a group called T.H.E.M. (The Heralds of Extreme Metaphors), which also consisted of his partner Webb. Following a fallout with Webb, Canibus pursued a solo career and began infiltrating the mixtape circuit. By 1997, he had approached the brink of the major-label rap game, guesting regularly on high-profile releases: he contributed to ""Uni-4-orm,"" an inclusion on the Rhyme & Reason soundtrack also featuring Heltah Skeltah and Ras Kass; ""Love, Peace & Nappiness,"" an inclusion on the Lost Boyz's Love, Peace & Nappiness also featuring Redman and A+; ""Making a Name for Ourselves,"" an inclusion on Common's One Day It'll All Make Sense; the non-album remix of Wyclef Jean's ""Gone Til November,"" and most famously, ""4, 3, 2, 1,"" an inclusion on LL Cool J's Phenomenon also featuring Redman, DMX, and Method Man.
Of the several guest appearances, ""4, 3, 2, 1"" certainly meant the most, as it brought together many of New York's preeminent hardcore rappers and thus ushered Canibus into that same elite class. At the same time, however, Canibus lashed out shortly afterward with the Mike Tyson-featuring ""Second Round K.O.,"" where he rhymed, ""So I'ma let the world know the truth, you don't want me to shine/You studied my rhyme, then you laid your vocals after mine."" In fact, the entirety of the song directed barbed rhymes at LL: ""You walk around showin' off your body cause it sells/Plus to avoid the fact that you ain't got skills/Mad at me 'cause I kick that shit real niggaz feel/While 99 percent of your fans wear high heels,"" and so on. Shortly thereafter, LL sought his revenge, releasing ""The Ripper Strikes Back"" on the 1998 soundtrack Survival of the Illest soundtrack and thus channeling even more attention toward Canibus. From the track's chorus to practically every line of the verses, LL unleashed a fury of insults and threats. The media elevated the battle to grand heights, and even MTV gave the story headlines. In the aftermath of 2Pac's and Biggie's deaths, such confrontations fascinated the rap community, and Canibus certainly capitalized on his newfound publicity.
As for his 1998 debut full-length, Can-I-Bus, though, the response was mixed. Critics expressed little support, while it sold over half a million copies. Negative reviews targeted Canibus' delivery (more than his lyrics or themes), as well as Wyclef's productions. The momentum that ""Second Round K.O."" had generated simmered almost immediately, and it didn't help that LL's ""Ripper Strikes Back"" found substantial acceptance at the time. In the two years following the release of Can-I-Bus, the rapper maintained a low profile in contrast to the regular guest appearances he had made leading up to his debut. As a result, when he finally did return with his 2000 follow-up album, 2000 B.C., he didn't have the same level of mainstream clout, and the album was not promoted heavily; Canibus subsequently returned to the underground after parting ways with Universal.
He continued to record albums and release them on the independent circuit. These discs included 2002's Mic Club (the first release on his own Mic Club Music label), 2003's Rip the Jacker, and 2005's Mind Control. During this period, Canibus also served in the U.S. Army. He was just as productive following his discharge and released several additional sets in the following years. On 2010's Melatonin Magik, his confrontational nature led to swipes at D12 and Eminem, but he was no lone wolf. The 2011 release Lyrical Warfare saw him working beside the likes of Killah Priest, Ras Kass, and Chino XL. Fait Accompli, produced strictly by J.P. Beats, was released in 2014 with a guest verse from Tragedy Khadafi. The following year brought Time Flys, Life Dies...Phoenix Rise, an album-length collaboration with producer/rapper Bronze Nazareth. The gravel-throated rapper returned in 2018 with Full Spectrum Dominance, a short album that featured Nappi Music, Thanos Beats, and more. ~ Jason Birchmeier",Secrets Amongst Cosmonauts,Unknown,https://www.youtube.com/watch?v=Ty7jH57hT_I&list=RDTy7jH57hT_I&start_radio=1&pp=ygUkQ2FuaWJ1cyAtIFNlY3JldHMgQW1vbmdzdCBDb3Ntb25hdXRzoAcB
Martin,https://lastfm.freetls.fastly.net/i/u/300x300/631968de43a175eaaf5300ec3b7db5c4.png,Car Seat Headrest,2020-03-23,"Crafting moody and introspective lo-fi pop tunes that are melodic but structurally ambitious at the same time, Car Seat Headrest is the moniker used by musician and songwriter Will Toledo. Cutting his teeth creating D.I.Y. recordings on inexpensive home equipment, Toledo's songwriting -- deeply personal, sometimes dramatic, frequently witty, and dotted with unexpected social and cultural references -- was what stood out as he gained confidence and strength on self-released early projects such as 2010's Little Pieces of Paper with ""No"" Written on Them. 2011's Twin Fantasy was Car Seat Headrest's breakthrough work, a song cycle that was a major step forward for the young songwriter. 2015's Teens of Style was the group's first album for Matador Records, and though the LP earned positive reviews, it was 2016's Teens of Denial that seriously wowed critics and established him as an artist to watch in indie rock. 2020's Making a Door Less Open was an effort to expand the boundaries of Car Seat Headrest's music, with lo-fi indie sounds giving way to a more expert approach dominated by electronic instrumentation. It was a process they continued on the 2021 companion EP's MADLO: Influences and MADLO: Remixes, and the 2022 tour which reflected their new sound was documented on the live album Faces from the Masquerade, issued in December 2023.
Will Toledo grew up in Leesburg, Virginia, where he learned about music theory while playing in the student symphony band in junior high and high school. He majored in English in college but was fascinated with music, embracing an eclectic variety of artists from Radiohead, Modest Mouse, and R.E.M. to Animal Collective and Swans, and he began writing songs on his computer, using its built-in microphone and the recording software that was bundled with the machine. While Toledo's recording setup became more advanced with time, he continued to prefer simpler solutions to recording problems, and his project became known as Car Seat Headrest when Toledo found he was more comfortable recording vocals in his car than in his home. As he began playing live shows with a rotating team of musicians (when a reporter asked Toledo about being a fixture on the local scene, he replied, ""All that amounts to is being able to play at the local pizza place""), the vast majority of his recordings were cut at home with Toledo handling all the vocals and instruments himself.
In May 2010, he issued his first Car Seat Headrest album, titled 1, with 2, 3, and 4 all appearing within the next three months. Although Toledo would continue to make his first four LPs available through his online store, he sheepishly included a warning to potential customers that they were ""not very good."" December 2010 brought Little Pieces of Paper with ""No"" Written on Them, which Toledo described as ""B-sides and rarities and generally just awful shit,"" but with March 2011's My Back Is Killing Me Baby, Toledo finally made an album he felt didn't require a warning about its inferior quality, and Car Seat Headrest began winning the attention of critics and lo-fi fans around the world with Twin Fantasy, released in November 2011.
The year 2012 brought two more albums, Monomania and Starving While Living, and in August 2013, Toledo released Nervous Young Man. Deciding he needed to break away from the places where he grew up and studied, Toledo left Virginia and moved to Seattle, where he assembled a new lineup of Car Seat Headrest and continued to busy himself with home recording. October 2014 brought another particularly personal project, How to Leave Town, which earned enthusiastic reviews on the music blogosphere and led to Toledo signing a deal with Matador Records. The label issued Teens of Style, featuring new versions of several of Car Seat Headrest's older tunes, in October 2015.
In May 2016, Toledo released an album of new Car Seat Headrest material, Teens of Denial. The record, which melded lo-fi noisemaking with a clean and ambitious production, made music news headlines shortly before its release. One of the album's tracks, ""Just What I Needed/Not What I Needed,"" interpolated a few bars of the Cars' classic ""Just What I Needed."" At the last minute, Cars frontman and songwriter Ric Ocasek rescinded his permission for Car Seat Headrest to use the excerpt from his song. The initial run of Teens of Denial on vinyl and CD had to be destroyed, but the digital version of the album was released as scheduled, with the problematic track replaced with a reworked version of ""Not What I Needed."" The album received widespread acclaim, serving as a breakout for Toledo.
Curiously, he returned in early 2018 not with a new LP but with an entirely re-recorded version of Car Seat Headrest's fan-favorite 2011 album Twin Fantasy. The following year saw the release of the group's first concert LP, Commit Yourself Completely. 2020's Making a Door Less Open found Toledo shifting stylistic gears, with electronics dominating the arrangements and giving the music a smoother, more refined sound. Two companion EPs, MADLO: Influences (a covers album) and MADLO: Remixes, arrived in June 2021. While the COVID-19 pandemic prevented Car Seat Headrest from touring extensively in support of the album, in 2022 they were back to performing live, and they played a three-night stand at New York's Brooklyn Steel in March of that year. The shows were recorded, and a collection of highlights from the concerts was released in December 2023, Faces from the Masquerade. ~ Mark Deming",Martin,Unknown,https://www.youtube.com/watch?v=ve1yeirllcY&pp=ygUYQ2FyIFNlYXQgSGVhZHJlc3QgTWFydGlu0gcJCX4JAYcqIYzv
Teens of Denial,https://lastfm.freetls.fastly.net/i/u/300x300/d604c0010c0c839da18d8c51b708df48.png,Car Seat Headrest,2016-05-20,"Crafting moody and introspective lo-fi pop tunes that are melodic but structurally ambitious at the same time, Car Seat Headrest is the moniker used by musician and songwriter Will Toledo. Cutting his teeth creating D.I.Y. recordings on inexpensive home equipment, Toledo's songwriting -- deeply personal, sometimes dramatic, frequently witty, and dotted with unexpected social and cultural references -- was what stood out as he gained confidence and strength on self-released early projects such as 2010's Little Pieces of Paper with ""No"" Written on Them. 2011's Twin Fantasy was Car Seat Headrest's breakthrough work, a song cycle that was a major step forward for the young songwriter. 2015's Teens of Style was the group's first album for Matador Records, and though the LP earned positive reviews, it was 2016's Teens of Denial that seriously wowed critics and established him as an artist to watch in indie rock. 2020's Making a Door Less Open was an effort to expand the boundaries of Car Seat Headrest's music, with lo-fi indie sounds giving way to a more expert approach dominated by electronic instrumentation. It was a process they continued on the 2021 companion EP's MADLO: Influences and MADLO: Remixes, and the 2022 tour which reflected their new sound was documented on the live album Faces from the Masquerade, issued in December 2023.
Will Toledo grew up in Leesburg, Virginia, where he learned about music theory while playing in the student symphony band in junior high and high school. He majored in English in college but was fascinated with music, embracing an eclectic variety of artists from Radiohead, Modest Mouse, and R.E.M. to Animal Collective and Swans, and he began writing songs on his computer, using its built-in microphone and the recording software that was bundled with the machine. While Toledo's recording setup became more advanced with time, he continued to prefer simpler solutions to recording problems, and his project became known as Car Seat Headrest when Toledo found he was more comfortable recording vocals in his car than in his home. As he began playing live shows with a rotating team of musicians (when a reporter asked Toledo about being a fixture on the local scene, he replied, ""All that amounts to is being able to play at the local pizza place""), the vast majority of his recordings were cut at home with Toledo handling all the vocals and instruments himself.
In May 2010, he issued his first Car Seat Headrest album, titled 1, with 2, 3, and 4 all appearing within the next three months. Although Toledo would continue to make his first four LPs available through his online store, he sheepishly included a warning to potential customers that they were ""not very good."" December 2010 brought Little Pieces of Paper with ""No"" Written on Them, which Toledo described as ""B-sides and rarities and generally just awful shit,"" but with March 2011's My Back Is Killing Me Baby, Toledo finally made an album he felt didn't require a warning about its inferior quality, and Car Seat Headrest began winning the attention of critics and lo-fi fans around the world with Twin Fantasy, released in November 2011.
The year 2012 brought two more albums, Monomania and Starving While Living, and in August 2013, Toledo released Nervous Young Man. Deciding he needed to break away from the places where he grew up and studied, Toledo left Virginia and moved to Seattle, where he assembled a new lineup of Car Seat Headrest and continued to busy himself with home recording. October 2014 brought another particularly personal project, How to Leave Town, which earned enthusiastic reviews on the music blogosphere and led to Toledo signing a deal with Matador Records. The label issued Teens of Style, featuring new versions of several of Car Seat Headrest's older tunes, in October 2015.
In May 2016, Toledo released an album of new Car Seat Headrest material, Teens of Denial. The record, which melded lo-fi noisemaking with a clean and ambitious production, made music news headlines shortly before its release. One of the album's tracks, ""Just What I Needed/Not What I Needed,"" interpolated a few bars of the Cars' classic ""Just What I Needed."" At the last minute, Cars frontman and songwriter Ric Ocasek rescinded his permission for Car Seat Headrest to use the excerpt from his song. The initial run of Teens of Denial on vinyl and CD had to be destroyed, but the digital version of the album was released as scheduled, with the problematic track replaced with a reworked version of ""Not What I Needed."" The album received widespread acclaim, serving as a breakout for Toledo.
Curiously, he returned in early 2018 not with a new LP but with an entirely re-recorded version of Car Seat Headrest's fan-favorite 2011 album Twin Fantasy. The following year saw the release of the group's first concert LP, Commit Yourself Completely. 2020's Making a Door Less Open found Toledo shifting stylistic gears, with electronics dominating the arrangements and giving the music a smoother, more refined sound. Two companion EPs, MADLO: Influences (a covers album) and MADLO: Remixes, arrived in June 2021. While the COVID-19 pandemic prevented Car Seat Headrest from touring extensively in support of the album, in 2022 they were back to performing live, and they played a three-night stand at New York's Brooklyn Steel in March of that year. The shows were recorded, and a collection of highlights from the concerts was released in December 2023, Faces from the Masquerade. ~ Mark Deming",Vincent,Unknown,https://www.youtube.com/watch?v=bEsItsZphwQ&pp=ygUZQ2FyIFNlYXQgSGVhZHJlc3QgVmluY2VudA%3D%3D
Scholars: Early Hack,https://lastfm.freetls.fastly.net/i/u/300x300/dbf2fd8a0715f873994210842f6ea0dd.png,Car Seat Headrest,2025-01-01,"Crafting moody and introspective lo-fi pop tunes that are melodic but structurally ambitious at the same time, Car Seat Headrest is the moniker used by musician and songwriter Will Toledo. Cutting his teeth creating D.I.Y. recordings on inexpensive home equipment, Toledo's songwriting -- deeply personal, sometimes dramatic, frequently witty, and dotted with unexpected social and cultural references -- was what stood out as he gained confidence and strength on self-released early projects such as 2010's Little Pieces of Paper with ""No"" Written on Them. 2011's Twin Fantasy was Car Seat Headrest's breakthrough work, a song cycle that was a major step forward for the young songwriter. 2015's Teens of Style was the group's first album for Matador Records, and though the LP earned positive reviews, it was 2016's Teens of Denial that seriously wowed critics and established him as an artist to watch in indie rock. 2020's Making a Door Less Open was an effort to expand the boundaries of Car Seat Headrest's music, with lo-fi indie sounds giving way to a more expert approach dominated by electronic instrumentation. It was a process they continued on the 2021 companion EP's MADLO: Influences and MADLO: Remixes, and the 2022 tour which reflected their new sound was documented on the live album Faces from the Masquerade, issued in December 2023.
Will Toledo grew up in Leesburg, Virginia, where he learned about music theory while playing in the student symphony band in junior high and high school. He majored in English in college but was fascinated with music, embracing an eclectic variety of artists from Radiohead, Modest Mouse, and R.E.M. to Animal Collective and Swans, and he began writing songs on his computer, using its built-in microphone and the recording software that was bundled with the machine. While Toledo's recording setup became more advanced with time, he continued to prefer simpler solutions to recording problems, and his project became known as Car Seat Headrest when Toledo found he was more comfortable recording vocals in his car than in his home. As he began playing live shows with a rotating team of musicians (when a reporter asked Toledo about being a fixture on the local scene, he replied, ""All that amounts to is being able to play at the local pizza place""), the vast majority of his recordings were cut at home with Toledo handling all the vocals and instruments himself.
In May 2010, he issued his first Car Seat Headrest album, titled 1, with 2, 3, and 4 all appearing within the next three months. Although Toledo would continue to make his first four LPs available through his online store, he sheepishly included a warning to potential customers that they were ""not very good."" December 2010 brought Little Pieces of Paper with ""No"" Written on Them, which Toledo described as ""B-sides and rarities and generally just awful shit,"" but with March 2011's My Back Is Killing Me Baby, Toledo finally made an album he felt didn't require a warning about its inferior quality, and Car Seat Headrest began winning the attention of critics and lo-fi fans around the world with Twin Fantasy, released in November 2011.
The year 2012 brought two more albums, Monomania and Starving While Living, and in August 2013, Toledo released Nervous Young Man. Deciding he needed to break away from the places where he grew up and studied, Toledo left Virginia and moved to Seattle, where he assembled a new lineup of Car Seat Headrest and continued to busy himself with home recording. October 2014 brought another particularly personal project, How to Leave Town, which earned enthusiastic reviews on the music blogosphere and led to Toledo signing a deal with Matador Records. The label issued Teens of Style, featuring new versions of several of Car Seat Headrest's older tunes, in October 2015.
In May 2016, Toledo released an album of new Car Seat Headrest material, Teens of Denial. The record, which melded lo-fi noisemaking with a clean and ambitious production, made music news headlines shortly before its release. One of the album's tracks, ""Just What I Needed/Not What I Needed,"" interpolated a few bars of the Cars' classic ""Just What I Needed."" At the last minute, Cars frontman and songwriter Ric Ocasek rescinded his permission for Car Seat Headrest to use the excerpt from his song. The initial run of Teens of Denial on vinyl and CD had to be destroyed, but the digital version of the album was released as scheduled, with the problematic track replaced with a reworked version of ""Not What I Needed."" The album received widespread acclaim, serving as a breakout for Toledo.
Curiously, he returned in early 2018 not with a new LP but with an entirely re-recorded version of Car Seat Headrest's fan-favorite 2011 album Twin Fantasy. The following year saw the release of the group's first concert LP, Commit Yourself Completely. 2020's Making a Door Less Open found Toledo shifting stylistic gears, with electronics dominating the arrangements and giving the music a smoother, more refined sound. Two companion EPs, MADLO: Influences (a covers album) and MADLO: Remixes, arrived in June 2021. While the COVID-19 pandemic prevented Car Seat Headrest from touring extensively in support of the album, in 2022 they were back to performing live, and they played a three-night stand at New York's Brooklyn Steel in March of that year. The shows were recorded, and a collection of highlights from the concerts was released in December 2023, Faces from the Masquerade. ~ Mark Deming",TOTT1,Unknown,https://www.youtube.com/watch?v=0Grbj1S73Jk&pp=ygUZQ2FyIFNlYXQgSGVhZHJlc3QgLSBUT1RUMQ%3D%3D
Scholars: Early Hack,https://lastfm.freetls.fastly.net/i/u/300x300/dbf2fd8a0715f873994210842f6ea0dd.png,Car Seat Headrest,2025-01-01,"Crafting moody and introspective lo-fi pop tunes that are melodic but structurally ambitious at the same time, Car Seat Headrest is the moniker used by musician and songwriter Will Toledo. Cutting his teeth creating D.I.Y. recordings on inexpensive home equipment, Toledo's songwriting -- deeply personal, sometimes dramatic, frequently witty, and dotted with unexpected social and cultural references -- was what stood out as he gained confidence and strength on self-released early projects such as 2010's Little Pieces of Paper with ""No"" Written on Them. 2011's Twin Fantasy was Car Seat Headrest's breakthrough work, a song cycle that was a major step forward for the young songwriter. 2015's Teens of Style was the group's first album for Matador Records, and though the LP earned positive reviews, it was 2016's Teens of Denial that seriously wowed critics and established him as an artist to watch in indie rock. 2020's Making a Door Less Open was an effort to expand the boundaries of Car Seat Headrest's music, with lo-fi indie sounds giving way to a more expert approach dominated by electronic instrumentation. It was a process they continued on the 2021 companion EP's MADLO: Influences and MADLO: Remixes, and the 2022 tour which reflected their new sound was documented on the live album Faces from the Masquerade, issued in December 2023.
Will Toledo grew up in Leesburg, Virginia, where he learned about music theory while playing in the student symphony band in junior high and high school. He majored in English in college but was fascinated with music, embracing an eclectic variety of artists from Radiohead, Modest Mouse, and R.E.M. to Animal Collective and Swans, and he began writing songs on his computer, using its built-in microphone and the recording software that was bundled with the machine. While Toledo's recording setup became more advanced with time, he continued to prefer simpler solutions to recording problems, and his project became known as Car Seat Headrest when Toledo found he was more comfortable recording vocals in his car than in his home. As he began playing live shows with a rotating team of musicians (when a reporter asked Toledo about being a fixture on the local scene, he replied, ""All that amounts to is being able to play at the local pizza place""), the vast majority of his recordings were cut at home with Toledo handling all the vocals and instruments himself.
In May 2010, he issued his first Car Seat Headrest album, titled 1, with 2, 3, and 4 all appearing within the next three months. Although Toledo would continue to make his first four LPs available through his online store, he sheepishly included a warning to potential customers that they were ""not very good."" December 2010 brought Little Pieces of Paper with ""No"" Written on Them, which Toledo described as ""B-sides and rarities and generally just awful shit,"" but with March 2011's My Back Is Killing Me Baby, Toledo finally made an album he felt didn't require a warning about its inferior quality, and Car Seat Headrest began winning the attention of critics and lo-fi fans around the world with Twin Fantasy, released in November 2011.
The year 2012 brought two more albums, Monomania and Starving While Living, and in August 2013, Toledo released Nervous Young Man. Deciding he needed to break away from the places where he grew up and studied, Toledo left Virginia and moved to Seattle, where he assembled a new lineup of Car Seat Headrest and continued to busy himself with home recording. October 2014 brought another particularly personal project, How to Leave Town, which earned enthusiastic reviews on the music blogosphere and led to Toledo signing a deal with Matador Records. The label issued Teens of Style, featuring new versions of several of Car Seat Headrest's older tunes, in October 2015.
In May 2016, Toledo released an album of new Car Seat Headrest material, Teens of Denial. The record, which melded lo-fi noisemaking with a clean and ambitious production, made music news headlines shortly before its release. One of the album's tracks, ""Just What I Needed/Not What I Needed,"" interpolated a few bars of the Cars' classic ""Just What I Needed."" At the last minute, Cars frontman and songwriter Ric Ocasek rescinded his permission for Car Seat Headrest to use the excerpt from his song. The initial run of Teens of Denial on vinyl and CD had to be destroyed, but the digital version of the album was released as scheduled, with the problematic track replaced with a reworked version of ""Not What I Needed."" The album received widespread acclaim, serving as a breakout for Toledo.
Curiously, he returned in early 2018 not with a new LP but with an entirely re-recorded version of Car Seat Headrest's fan-favorite 2011 album Twin Fantasy. The following year saw the release of the group's first concert LP, Commit Yourself Completely. 2020's Making a Door Less Open found Toledo shifting stylistic gears, with electronics dominating the arrangements and giving the music a smoother, more refined sound. Two companion EPs, MADLO: Influences (a covers album) and MADLO: Remixes, arrived in June 2021. While the COVID-19 pandemic prevented Car Seat Headrest from touring extensively in support of the album, in 2022 they were back to performing live, and they played a three-night stand at New York's Brooklyn Steel in March of that year. The shows were recorded, and a collection of highlights from the concerts was released in December 2023, Faces from the Masquerade. ~ Mark Deming",TOTT2,Unknown,https://www.youtube.com/watch?v=Zl2HpPLgTOA&pp=ygUZQ2FyIFNlYXQgSGVhZHJlc3QgLSBUT1RUMg%3D%3D
