Album,AlbumArtLink,Artist,ReleaseDate,Summary,Title,Year,YouTubeLink
In the Grass,https://lastfm.freetls.fastly.net/i/u/300x300/7e2977fa7a0f5b3fe037bd71938795e9.jpg,Splendora,1995-01-01,"Splendora were an American all-female alternative rock band from New York City. Formed in 1993 by Janet Wygal (lead vocals, guitar), Tricia Wygal (lead vocals, bass), Delissa Santos (drums), Cindy Brolsma (cello) and Jennifer Richardson (violin), the band released one studio album, In the Grass (1995), before disbanding in 2002. The band is best known for performing ""You're Standing on My Neck"" (released for streaming in 2020 as ""Daria (Official MTV Theme)"", which was featured as the opening theme to the MTV animated series Daria. Splendora also performed ""Turn the Sun Down"" and ""College Try"" for the Daria television films Is It Fall Yet? and Is It College Yet?, respectively. Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",Beautiful,Unknown,https://www.youtube.com/watch?v=47rPNjFPAds&pp=ygUTU3BsZW5kb3JhIEJlYXV0aWZ1bA%3D%3D
In the Grass,https://lastfm.freetls.fastly.net/i/u/300x300/7e2977fa7a0f5b3fe037bd71938795e9.jpg,Splendora,1995-01-01,"Splendora were an American all-female alternative rock band from New York City. Formed in 1993 by Janet Wygal (lead vocals, guitar), Tricia Wygal (lead vocals, bass), Delissa Santos (drums), Cindy Brolsma (cello) and Jennifer Richardson (violin), the band released one studio album, In the Grass (1995), before disbanding in 2002. The band is best known for performing ""You're Standing on My Neck"" (released for streaming in 2020 as ""Daria (Official MTV Theme)"", which was featured as the opening theme to the MTV animated series Daria. Splendora also performed ""Turn the Sun Down"" and ""College Try"" for the Daria television films Is It Fall Yet? and Is It College Yet?, respectively. Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",Pollyanna,Unknown,https://www.youtube.com/watch?v=3OLrRJ5g648&pp=ygUTU3BsZW5kb3JhIFBvbGx5YW5uYQ%3D%3D
In the Grass,https://lastfm.freetls.fastly.net/i/u/300x300/7e2977fa7a0f5b3fe037bd71938795e9.jpg,Splendora,1995-01-01,"Splendora were an American all-female alternative rock band from New York City. Formed in 1993 by Janet Wygal (lead vocals, guitar), Tricia Wygal (lead vocals, bass), Delissa Santos (drums), Cindy Brolsma (cello) and Jennifer Richardson (violin), the band released one studio album, In the Grass (1995), before disbanding in 2002. The band is best known for performing ""You're Standing on My Neck"" (released for streaming in 2020 as ""Daria (Official MTV Theme)"", which was featured as the opening theme to the MTV animated series Daria. Splendora also performed ""Turn the Sun Down"" and ""College Try"" for the Daria television films Is It Fall Yet? and Is It College Yet?, respectively. Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",Reanimator,Unknown,https://www.youtube.com/watch?v=_TGCIfolQtI&pp=ygUUU3BsZW5kb3JhIFJlYW5pbWF0b3I%3D
In the Grass,https://lastfm.freetls.fastly.net/i/u/300x300/7e2977fa7a0f5b3fe037bd71938795e9.jpg,Splendora,1995-01-01,"Splendora were an American all-female alternative rock band from New York City. Formed in 1993 by Janet Wygal (lead vocals, guitar), Tricia Wygal (lead vocals, bass), Delissa Santos (drums), Cindy Brolsma (cello) and Jennifer Richardson (violin), the band released one studio album, In the Grass (1995), before disbanding in 2002. The band is best known for performing ""You're Standing on My Neck"" (released for streaming in 2020 as ""Daria (Official MTV Theme)"", which was featured as the opening theme to the MTV animated series Daria. Splendora also performed ""Turn the Sun Down"" and ""College Try"" for the Daria television films Is It Fall Yet? and Is It College Yet?, respectively. Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",Shirt On,Unknown,https://www.youtube.com/watch?v=Q1IDB3NjN6E&pp=ygUUU3BsZW5kb3JhIC0gU2hpcnQgT24%3D
In the Grass,https://lastfm.freetls.fastly.net/i/u/300x300/7e2977fa7a0f5b3fe037bd71938795e9.jpg,Splendora,1995-01-01,"Splendora were an American all-female alternative rock band from New York City. Formed in 1993 by Janet Wygal (lead vocals, guitar), Tricia Wygal (lead vocals, bass), Delissa Santos (drums), Cindy Brolsma (cello) and Jennifer Richardson (violin), the band released one studio album, In the Grass (1995), before disbanding in 2002. The band is best known for performing ""You're Standing on My Neck"" (released for streaming in 2020 as ""Daria (Official MTV Theme)"", which was featured as the opening theme to the MTV animated series Daria. Splendora also performed ""Turn the Sun Down"" and ""College Try"" for the Daria television films Is It Fall Yet? and Is It College Yet?, respectively. Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",Sever,Unknown,https://www.youtube.com/watch?v=mbdId_rMiPU&pp=ygUPU3BsZW5kb3JhIFNldmVy
In the Grass,https://lastfm.freetls.fastly.net/i/u/300x300/7e2977fa7a0f5b3fe037bd71938795e9.jpg,Splendora,1995-01-01,"Splendora were an American all-female alternative rock band from New York City. Formed in 1993 by Janet Wygal (lead vocals, guitar), Tricia Wygal (lead vocals, bass), Delissa Santos (drums), Cindy Brolsma (cello) and Jennifer Richardson (violin), the band released one studio album, In the Grass (1995), before disbanding in 2002. The band is best known for performing ""You're Standing on My Neck"" (released for streaming in 2020 as ""Daria (Official MTV Theme)"", which was featured as the opening theme to the MTV animated series Daria. Splendora also performed ""Turn the Sun Down"" and ""College Try"" for the Daria television films Is It Fall Yet? and Is It College Yet?, respectively. Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",Rattle,Unknown,https://www.youtube.com/watch?v=l4p4EfURcR0&pp=ygUQU3BsZW5kb3JhIFJhdHRsZQ%3D%3D
In the Grass,https://lastfm.freetls.fastly.net/i/u/300x300/7e2977fa7a0f5b3fe037bd71938795e9.jpg,Splendora,1995-01-01,"Splendora were an American all-female alternative rock band from New York City. Formed in 1993 by Janet Wygal (lead vocals, guitar), Tricia Wygal (lead vocals, bass), Delissa Santos (drums), Cindy Brolsma (cello) and Jennifer Richardson (violin), the band released one studio album, In the Grass (1995), before disbanding in 2002. The band is best known for performing ""You're Standing on My Neck"" (released for streaming in 2020 as ""Daria (Official MTV Theme)"", which was featured as the opening theme to the MTV animated series Daria. Splendora also performed ""Turn the Sun Down"" and ""College Try"" for the Daria television films Is It Fall Yet? and Is It College Yet?, respectively. Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",Cover the River,Unknown,https://www.youtube.com/watch?v=I8HiwSaCdxQ&pp=ygUZU3BsZW5kb3JhIENvdmVyIHRoZSBSaXZlcg%3D%3D
In the Grass,https://lastfm.freetls.fastly.net/i/u/300x300/7e2977fa7a0f5b3fe037bd71938795e9.jpg,Splendora,1995-01-01,"Splendora were an American all-female alternative rock band from New York City. Formed in 1993 by Janet Wygal (lead vocals, guitar), Tricia Wygal (lead vocals, bass), Delissa Santos (drums), Cindy Brolsma (cello) and Jennifer Richardson (violin), the band released one studio album, In the Grass (1995), before disbanding in 2002. The band is best known for performing ""You're Standing on My Neck"" (released for streaming in 2020 as ""Daria (Official MTV Theme)"", which was featured as the opening theme to the MTV animated series Daria. Splendora also performed ""Turn the Sun Down"" and ""College Try"" for the Daria television films Is It Fall Yet? and Is It College Yet?, respectively. Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",No Place,Unknown,https://www.youtube.com/watch?v=9jcwIyZELIY&pp=ygUSU3BsZW5kb3JhIE5vIFBsYWNl
In the Grass,https://lastfm.freetls.fastly.net/i/u/300x300/7e2977fa7a0f5b3fe037bd71938795e9.jpg,Splendora,1995-01-01,"Splendora were an American all-female alternative rock band from New York City. Formed in 1993 by Janet Wygal (lead vocals, guitar), Tricia Wygal (lead vocals, bass), Delissa Santos (drums), Cindy Brolsma (cello) and Jennifer Richardson (violin), the band released one studio album, In the Grass (1995), before disbanding in 2002. The band is best known for performing ""You're Standing on My Neck"" (released for streaming in 2020 as ""Daria (Official MTV Theme)"", which was featured as the opening theme to the MTV animated series Daria. Splendora also performed ""Turn the Sun Down"" and ""College Try"" for the Daria television films Is It Fall Yet? and Is It College Yet?, respectively. Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",It's Great,Unknown,https://www.youtube.com/watch?v=D3KXjDxDKZk&pp=ygUTU3BsZW5kb3JhIEl0cyBHcmVhdA%3D%3D
In the Grass,https://lastfm.freetls.fastly.net/i/u/300x300/7e2977fa7a0f5b3fe037bd71938795e9.jpg,Splendora,1995-01-01,"Splendora were an American all-female alternative rock band from New York City. Formed in 1993 by Janet Wygal (lead vocals, guitar), Tricia Wygal (lead vocals, bass), Delissa Santos (drums), Cindy Brolsma (cello) and Jennifer Richardson (violin), the band released one studio album, In the Grass (1995), before disbanding in 2002. The band is best known for performing ""You're Standing on My Neck"" (released for streaming in 2020 as ""Daria (Official MTV Theme)"", which was featured as the opening theme to the MTV animated series Daria. Splendora also performed ""Turn the Sun Down"" and ""College Try"" for the Daria television films Is It Fall Yet? and Is It College Yet?, respectively. Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",Busted,Unknown,https://www.youtube.com/watch?v=nMDSRim8t3Y&pp=ygUQU3BsZW5kb3JhIEJ1c3RlZA%3D%3D
