Album,AlbumArtLink,Artist,ReleaseDate,Summary,Title,Year,YouTubeLink
BEAT TAPE 40,https://lastfm.freetls.fastly.net/i/u/300x300/069c15e60e94267c978aef90746a0fce.jpg,your best friend jippy,2025-01-01,,Purple Tape,Unknown,https://www.youtube.com/watch?v=JeMWypegoAo&pp=ygUkeW91ciBiZXN0IGZyaWVuZCBqaXBweSAtIFB1cnBsZSBUYXBl
BEAT TAPE 40,https://lastfm.freetls.fastly.net/i/u/300x300/069c15e60e94267c978aef90746a0fce.jpg,your best friend jippy,2025-01-01,,En Passant,Unknown,https://www.youtube.com/watch?v=i0-3caA4088&pp=ygUjeW91ciBiZXN0IGZyaWVuZCBqaXBweSAtIEVuIFBhc3NhbnQ%3D
BEAT TAPE 40,https://lastfm.freetls.fastly.net/i/u/300x300/069c15e60e94267c978aef90746a0fce.jpg,your best friend jippy,2025-01-01,,Midnight Hour,Unknown,https://www.youtube.com/watch?v=WJnPcQ0WMvM&pp=ygUmeW91ciBiZXN0IGZyaWVuZCBqaXBweSAtIE1pZG5pZ2h0IEhvdXI%3D
BEAT TAPE 40,https://lastfm.freetls.fastly.net/i/u/300x300/069c15e60e94267c978aef90746a0fce.jpg,your best friend jippy,2025-01-01,,Been Down So Long,Unknown,https://www.youtube.com/watch?v=s4BfriYOgTE&pp=ygUoeW91ciBiZXN0IGZyaWVuZCBqaXBweSBCZWVuIERvd24gU28gTG9uZw%3D%3D
BEAT TAPE 40,https://lastfm.freetls.fastly.net/i/u/300x300/069c15e60e94267c978aef90746a0fce.jpg,your best friend jippy,2025-01-01,,Tropical Albacore,Unknown,https://www.youtube.com/watch?v=DiwU8dqIF2A&pp=ygUqeW91ciBiZXN0IGZyaWVuZCBqaXBweSAtIFRyb3BpY2FsIEFsYmFjb3Jl
BEAT TAPE 40,https://lastfm.freetls.fastly.net/i/u/300x300/069c15e60e94267c978aef90746a0fce.jpg,your best friend jippy,2025-01-01,,Lin Belladon,Unknown,https://www.youtube.com/watch?v=wzBlk3Z_da0&pp=ygUleW91ciBiZXN0IGZyaWVuZCBqaXBweSAtIExpbiBCZWxsYWRvbg%3D%3D
BEAT TAPE 40,https://lastfm.freetls.fastly.net/i/u/300x300/069c15e60e94267c978aef90746a0fce.jpg,your best friend jippy,2025-01-01,,It Looks Like Up to Me,Unknown,https://www.youtube.com/watch?v=gLVNsp0lgTc&pp=ygUteW91ciBiZXN0IGZyaWVuZCBqaXBweSBJdCBMb29rcyBMaWtlIFVwIHRvIE1l
BEAT TAPE 40,https://lastfm.freetls.fastly.net/i/u/300x300/069c15e60e94267c978aef90746a0fce.jpg,your best friend jippy,2025-01-01,,52 Hertz,Unknown,https://www.youtube.com/watch?v=XxLVGXUGBag&pp=ygUheW91ciBiZXN0IGZyaWVuZCBqaXBweSAtIDUyIEhlcnR6
BEAT TAPE 40,https://lastfm.freetls.fastly.net/i/u/300x300/069c15e60e94267c978aef90746a0fce.jpg,your best friend jippy,2025-01-01,,As Years Go By,Unknown,https://www.youtube.com/watch?v=NZSDnph2Zf4&pp=ygUleW91ciBiZXN0IGZyaWVuZCBqaXBweSBBcyBZZWFycyBHbyBCeQ%3D%3D
BEAT TAPE 40,https://lastfm.freetls.fastly.net/i/u/300x300/069c15e60e94267c978aef90746a0fce.jpg,your best friend jippy,2025-01-01,,Doppler Shift,Unknown,https://www.youtube.com/watch?v=wzBlk3Z_da0&pp=ygUmeW91ciBiZXN0IGZyaWVuZCBqaXBweSAtIERvcHBsZXIgU2hpZnQ%3D
